hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
25, 0.00000, 2444.84, -1.88623, 2402.45, -121.646, 2372.44, 114.93, 0, 0, 22.4324, -1.88632, 22.8282, -121.646, 23.1173, 114.929, 1.05575, -131.456
26, 0.00000, 2446, -1.86006, 2402.29, -121.652, 2372.82, 114.94, 0, 0, 22.452, -1.8618, 22.8602, -121.652, 23.1444, 114.939, 1.05125, -130.678
27, 0.00000, 2446.27, -1.85074, 2402.26, -121.657, 2373.68, 114.962, 0, 0, 22.3925, -1.85125, 22.8028, -121.657, 23.0781, 114.959, 1.03865, -130.523
28, 0.00000, 2446.47, -1.84518, 2402.16, -121.661, 2373.99, 114.97, 0, 0, 22.2948, -1.84551, 22.706, -121.661, 22.9758, 114.969, 1.02876, -130.373
29, 0.00000, 2446.27, -1.94233, 2397.36, -121.676, 2348.52, 114.33, 0, 0, 27.1163, -1.94236, 27.6694, -121.676, 28.2444, 114.331, 1.57575, -126.349
30, 0.00000, 2446.73, -1.95494, 2393.95, -121.728, 2341.53, 114.159, 0, 0, 27.6904, -1.955, 28.3005, -121.728, 28.9331, 114.161, 1.67695, -124.462
31, 0.00000, 2442.52, -2.27006, 2375.95, -122.234, 2294.33, 112.648, 0, 0, 37.5312, -2.27005, 38.5831, -122.234, 39.9559, 112.648, 3.15176, -119.18
32, 0.00000, 2442.65, -2.36607, 2374.44, -122.189, 2268.81, 112.038, 0, 0, 42.7138, -2.36605, 43.9409, -122.189, 45.4405, 112.038, 3.86951, -124.995
33, 0.00000, 2429.19, -2.65199, 2363.94, -122.429, 2265.88, 111.964, 0, 0, 43.8863, -2.65092, 45.0986, -122.428, 46.3657, 111.964, 3.71343, -128.538
34, 0.00000, 2421.97, -2.8276, 2363.09, -122.433, 2258.5, 111.787, 0, 0, 45.5395, -2.82687, 46.6749, -122.433, 47.7955, 111.787, 3.85603, -134.694
35, 0.00000, 2422.26, -2.82322, 2363.83, -122.421, 2258.97, 111.796, 0, 0, 46.4587, -2.82366, 47.6066, -122.422, 48.7759, 111.796, 3.94679, -134.512
36, 0.00000, 2417.91, -2.9297, 2362.49, -122.434, 2253.21, 111.661, 0, 0, 47.6745, -2.92914, 48.7936, -122.434, 49.8224, 111.662, 4.06547, -138.658
37, 0.00000, 2420.68, -2.86083, 2365.22, -122.379, 2257.07, 111.753, 0, 0, 46.8773, -2.86109, 47.9763, -122.379, 49.1381, 111.753, 4.03015, -136.343
38, 0.00000, 2419.8, -2.89896, 2362.81, -122.422, 2252.01, 111.632, 0, 0, 48.0804, -2.89818, 49.2404, -122.419, 50.2558, 111.624, 4.12605, -138.723
39, 0.00000, 2420.15, -2.88987, 2363.46, -122.41, 2252.72, 111.648, 0, 0, 48.072, -2.89024, 49.2247, -122.411, 50.2712, 111.65, 4.12565, -138.303
40, 0.00000, 2420.52, -2.88441, 2363.48, -122.409, 2252.04, 111.633, 0, 0, 48.1169, -2.88475, 49.2776, -122.409, 50.3086, 111.632, 4.13772, -138.509
41, 0.00000, 2420.44, -2.8869, 2362.22, -122.435, 2250.3, 111.597, 0, 0, 47.9888, -2.88691, 49.1708, -122.434, 50.1303, 111.594, 4.11262, -139.068
42, 0.00000, 2424.36, -2.8121, 2374.06, -122.138, 2247.55, 111.546, 0, 0, 48.2075, -2.81218, 49.2291, -122.139, 50.3723, 111.546, 4.45337, -141.012
43, 0.00000, 2427.3, -2.58254, 2387.14, -121.982, 2291.89, 112.602, 0, 0, 37.2561, -2.58291, 37.8826, -121.983, 39.4565, 112.602, 3.28565, -127.262
44, 0.00000, 2429.47, -2.54184, 2386.75, -121.986, 2291.4, 112.589, 0, 0, 37.0002, -2.54204, 37.6621, -121.986, 39.2294, 112.589, 3.27474, -126.434
45, 0.00000, 2433.76, -2.34569, 2393.32, -121.94, 2320.94, 113.302, 0, 0, 30.8909, -2.34569, 31.4132, -121.94, 32.3938, 113.3, 2.32463, -128.066
46, 0.00000, 2442.82, -2.12002, 2394.87, -121.943, 2332.76, 113.585, 0, 0, 29.2024, -2.12051, 29.7874, -121.943, 30.5831, 113.58, 2.05159, -125.409
47, 0.00000, 2448.4, -1.88839, 2413.15, -121.66, 2364.82, 114.375, 0, 0, 24.9214, -1.88832, 25.2856, -121.66, 25.8027, 114.373, 1.52306, -130.432
48, 0.00000, 2443.27, -1.96671, 2414.76, -121.664, 2373.86, 114.597, 0, 0, 24.8473, -1.96631, 25.1411, -121.664, 25.575, 114.593, 1.41091, -134.648
49, 0.00000, 2446.48, -1.88823, 2415.14, -121.667, 2377.17, 114.677, 0, 0, 24.6134, -1.88832, 24.9328, -121.667, 25.3314, 114.676, 1.35941, -133.471
50, 0.00000, 2447.28, -1.86495, 2415.37, -121.668, 2378.78, 114.717, 0, 0, 24.3486, -1.86607, 24.6705, -121.668, 25.0515, 114.712, 1.3288, -133.283
51, 0.00000, 2447.13, -1.85941, 2415.45, -121.676, 2381, 114.773, 0, 0, 23.9406, -1.85934, 24.2553, -121.675, 24.6082, 114.765, 1.27956, -133.634
52, 0.00000, 2447.27, -1.85604, 2414.59, -121.695, 2381.01, 114.774, 0, 0, 23.8535, -1.85624, 24.1761, -121.694, 24.5173, 114.774, 1.26138, -133.331
53, 0.00000, 2445.14, -1.99682, 2409.06, -121.725, 2354.98, 114.127, 0, 0, 28.6766, -1.99687, 29.1059, -121.725, 29.7738, 114.129, 1.84535, -129.866
54, 0.00000, 2445.8, -2.00892, 2407.33, -121.734, 2347.05, 113.935, 0, 0, 29.3367, -2.00902, 29.805, -121.734, 30.5691, 113.939, 1.99329, -128.398
55, 0.00000, 2441.47, -2.32453, 2374.31, -122.24, 2285.13, 112.43, 0, 0, 38.9844, -2.32452, 40.0871, -122.24, 41.6515, 112.43, 3.4467, -119.068
56, 0.00000, 2442.44, -2.40162, 2373.88, -122.175, 2260.25, 111.839, 0, 0, 44.3496, -2.40069, 45.6353, -122.174, 46.9796, 111.806, 4.04536, -129.247
57, 0.00000, 2430.01, -2.66366, 2364.48, -122.394, 2258.45, 111.789, 0, 0, 45.3843, -2.66271, 46.643, -122.393, 47.7899, 111.789, 3.88706, -132.14
58, 0.00000, 2423.14, -2.8251, 2362.47, -122.43, 2252.97, 111.657, 0, 0, 46.7039, -2.82445, 47.9042, -122.43, 48.908, 111.657, 3.98261, -136.909
59, 0.00000, 2423.51, -2.80368, 2363.55, -122.423, 2257.45, 111.76, 0, 0, 46.7795, -2.80448, 47.9647, -122.425, 49.1016, 111.767, 3.97518, -134.71
60, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
61, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
62, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
63, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
64, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
65, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
66, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
70, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
71, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
72, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
73, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
74, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
75, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
76, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
77, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
78, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
79, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
81, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
82, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
83, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
84, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
85, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
86, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
87, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
88, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
89, 0.00000, 5.70725E8, 160.366, 5.70734E8, 40.3647, 5.70716E8, -79.6352, 0, 0, 6.3262E6, -113.253, 6.32628E6, 126.746, 6.3261E6, 6.7458, 0.0661364, 156.845
90, 0.00000, 1.4386E12, -55.8887, 1.43862E12, -175.892, 1.43854E12, 64.109, 0, 0, 1.63435E10, 30.5276, 1.63437E10, -89.4757, 1.63428E10, 150.525, 357.467, -46.5653
91, 0.00000, 2.5223E15, 87.8677, 2.52231E15, -32.1377, 2.5221E15, -152.135, 0, 0, 2.27451E13, 174.284, 2.27452E13, 54.2786, 2.27433E13, -65.719, 766782, 115.283
92, 0.00000, 4.37159E18, -128.376, 4.37158E18, 111.617, 4.3711E18, -8.37957, 0, 0, 3.90521E16, -41.9598, 3.9052E16, -161.967, 3.90478E16, 78.0367, 1.72725E9, -79.0546
93, 0.00000, 6.31863E21, 15.3803, 6.31857E21, -104.629, 6.31771E21, 135.376, 0, 0, 4.80008E19, 101.797, 4.80004E19, -18.2126, 4.7994E19, -138.208, 2.50194E12, 89.917
94, 0.00000, 8.76741E24, 159.137, 8.76726E24, 39.1255, 8.76585E24, -80.8681, 0, 0, 6.39487E22, -114.447, 6.39476E22, 125.542, 6.39375E22, 5.54822, 3.61702E15, -97.0337
95, 0.00000, 1.08156E28, -57.107, 1.08154E28, -177.12, 1.08134E28, 62.8877, 0, 0, 6.94081E25, 29.3093, 6.94063E25, -90.7037, 6.93936E25, 149.304, 4.04229E18, 81.7781
96, 0.00000, 1.33515E31, 86.6494, 1.3351E31, -33.3656, 1.33482E31, -153.356, 0, 0, 8.57496E28, 173.066, 8.57468E28, 53.0507, 8.57289E28, -66.9402, 5.19221E21, -91.9966
97, 0.00000, 1.62583E34, -129.594, 1.62576E34, 110.389, 1.62538E34, -9.60069, 0, 0, 1.02757E32, -43.178, 1.02752E32, -163.195, 1.02728E32, 76.8156, 7.20995E24, 99.5057
98, 0.00000, 1.97395E37, 14.1621, 1.97385E37, -105.857, 1.97333E37, 134.155, 0, 0, 1.24321E35, 100.578, 1.24315E35, -19.4404, 1.24282E35, -139.429, 1.14786E28, -70.6758
99, 0.00000, 2.19124E22, 157.577, 2.1892E22, 37.6095, 2.19131E22, -82.361, 0, 0, 2.19573E21, -115.982, 2.19383E21, 124.047, 2.19574E21, 4.07512, 8.52139E15, 107.628
100, 0.00000, 90.841, 119.085, 90.0767, -0.811055, 91.395, -120.775, 0, 0, 5.34657, 25.5002, 5.29651, -94.4345, 5.38066, 145.58, 0.0664254, -70.2766
101, 0.00000, 1.03815, 39.7376, 1.03109, -80.0696, 1.04404, 160.001, 0, 0, 0.0590465, -53.8165, 0.0586191, -173.651, 0.0593904, 66.4122, 0.000464698, -141.814
102, 0.00000, 0.075666, -133.138, 0.0751989, 107.093, 0.076079, -12.8253, 0, 0, 0.00365982, 133.298, 0.00363619, 13.5111, 0.0036802, -106.411, 0.0000222111, 50.4941
103, 0.00000, 0.000982549, 147.562, 0.000977082, 27.8379, 0.000987609, -92.0738, 0, 0, 0.0000727558, 53.994, 0.0000723386, -65.7439, 0.000073138, 174.343, 3.13901E-7, -21.0435
104, 0.00000, 0.0000421596, -25.297, 0.0000419359, -144.999, 0.0000423694, 95.0906, 0, 0, 4.01212E-6, -118.868, 3.99035E-6, 121.42, 4.03243E-6, 1.5086, 1.39879E-8, 171.265
105, 0.00000, 1.42339E-7, -104.566, 1.41619E-7, 135.749, 1.43033E-7, 15.8412, 0, 0, 1.90576E-8, 161.857, 1.89599E-8, 42.166, 1.91513E-8, -77.7423, 5.35222E-11, 99.7272
106, 0.00000, 6.57835E-10, 176.18, 6.54647E-10, 56.4963, 6.61091E-10, -63.4021, 0, 0, 8.15648E-11, 82.5981, 8.1164E-11, -37.0863, 8.19668E-11, -156.988, 2.14656E-13, 28.1896
107, 0.00000, 1.79354E-11, 3.34367, 1.78509E-11, -116.338, 1.80248E-11, 123.769, 0, 0, 2.26682E-12, -90.2381, 2.25598E-12, 150.079, 2.27808E-12, 30.1834, 5.92067E-15, -139.502
108, 0.00000, 8.01777E-14, -75.9113, 7.9815E-14, 164.411, 8.05793E-14, 44.525, 0, 0, 1.01E-14, -169.493, 1.00537E-14, 70.8278, 1.01506E-14, -49.0603, 2.60821E-17, 148.96
109, 0.00000, 2.07581E-15, 111.249, 2.0666E-15, -8.42132, 2.08605E-15, -128.307, 0, 0, 2.56964E-16, 17.6688, 2.55813E-16, -102.005, 2.58242E-16, 138.109, 6.40343E-19, -18.7316
110, 0.00000, 7.1596E-18, -61.5881, 7.12861E-18, 178.746, 7.19487E-18, 58.8628, 0, 0, 2.4776E-18, -155.17, 2.46675E-18, 85.1621, 2.48982E-18, -34.7222, 5.95784E-21, 173.577
111, 0.00000, 8.37805E-20, 125.575, 8.3426E-20, 5.91287, 8.41915E-20, -113.967, 0, 0, 1.57493E-20, -148.007, 1.56819E-20, 92.3292, 1.58267E-20, -27.5522, 3.75854E-23, -174.115
112, 0.00000, 1.04421E-21, -47.262, 1.03989E-21, -166.919, 1.0493E-21, 73.2023, 0, 0, 1.89788E-22, 39.1565, 1.88994E-22, -80.5034, 1.90717E-22, 159.618, 4.49495E-25, 18.1931
113, 0.00000, 3.60611E-23, 139.901, 3.59148E-23, 20.2485, 3.62354E-23, -99.6284, 0, 0, 3.84246E-24, -133.681, 3.82672E-24, 106.664, 3.86112E-24, -13.213, 9.03151E-27, -149.499
114, 0.00000, 1.14852E-24, -32.9347, 1.14426E-24, -152.596, 1.15443E-24, 87.5523, 0, 0, 1.27041E-25, 53.4868, 1.26547E-25, -66.1703, 1.27673E-25, 173.965, 3.37725E-28, 42.8095
115, 0.00000, 7.46163E-27, 67.794, 7.44039E-27, -51.8804, 7.50528E-27, -171.677, 0, 0, 5.95896E-28, 154.219, 5.94001E-28, 34.5489, 5.99227E-28, -85.2685, 2.38487E-30, 151.272
116, 0.00000, 2.56651E-28, -105.06, 2.5614E-28, 135.258, 2.58306E-28, 15.5124, 0, 0, 2.04517E-29, -18.6321, 2.04015E-29, -138.311, 2.05772E-29, 101.917, 1.08642E-31, -16.4199
117, 0.00000, 1.2624E-30, -4.35811, 1.2625E-30, -124.048, 1.27213E-30, 116.32, 0, 0, 9.11063E-32, 82.0776, 9.10401E-32, -37.6111, 9.17666E-32, -157.286, 7.59473E-34, 92.0425
118, 0.00000, 5.70086E-33, 96.3086, 5.72103E-33, -23.3693, 5.75437E-33, -142.828, 0, 0, 4.034E-34, -177.242, 4.04287E-34, 63.0725, 4.06944E-34, -56.4516, 5.38932E-36, -159.495
119, 0.00000, 1.96689E-35, -163.098, 1.98595E-35, 77.2853, 1.98996E-35, -41.892, 0, 0, 1.30137E-36, -76.6186, 1.31085E-36, 163.735, 1.31555E-36, 44.4514, 2.87927E-38, -51.0327
120, 0.00000, 4.41102E-37, 23.8972, 4.48127E-37, -95.6173, 4.47049E-37, 145.468, 0, 0, 2.94552E-38, 110.408, 2.98249E-38, -9.16592, 2.98263E-38, -128.22, 9.22615E-40, 141.276
121, 0.00000, 3.00658E-39, -149.404, 3.10586E-39, 91.3541, 3.06224E-39, -26.8449, 0, 0, 3.57578E-40, -62.7076, 3.6589E-40, 177.881, 3.63226E-40, 59.2799, 1.80067E-41, -26.4162
122, 0.00000, 1.92118E-41, 36.827, 2.04548E-41, -81.7295, 1.96981E-41, 161.295, 0, 0, 2.35979E-42, 123.787, 2.46909E-42, 4.81463, 2.41163E-42, -112.85, 2.18603E-43, 165.892
123, 0.00000, 1.02295E-43, -134.994, 1.03696E-43, 105.907, 1.02295E-43, -13.0745, 0, 0, 1.4013E-44, 131.097, 1.4013E-44, 12.2097, 1.4013E-44, -106.036, 1.4013E-45, 178.2
124, 0.00000, 2.8026E-45, 52.3064, 2.8026E-45, -66.8617, 2.8026E-45, 173.768, 0, 0, 0, -41.3444, 0, -160.475, 0, 80.3254, 0, 10.5086
125, 0.00000, 0, -120.446, 0, 120.337, 0, 0.754624, 0, 0, 0, 145.933, 0, 26.7406, 0, -92.7464, 0, -157.183
126, 0.00000, 0, 66.7711, 0, -52.4818, 0, -172.191, 0, 0, 0, -26.8363, 0, -146.071, 0, 94.2778, 0, 35.1251
127, 0.00000, 0, -12.4231, 0, -131.732, 0, 108.436, 0, 0, 0, -106.023, 0, 134.687, 0, 14.8889, 0, -36.4126
128, 0.00000, 6.74485E8, 160.935, 6.74486E8, 40.9333, 6.74466E8, -79.0658, 0, 0, 6.80086E6, -112.697, 6.80087E6, 127.302, 6.80068E6, 7.30233, 0.0774101, 145.051
129, 0.00000, 1.69907E12, -55.3265, 1.69909E12, -175.33, 1.69899E12, 64.6712, 0, 0, 1.73513E10, 31.09, 1.73515E10, -88.9134, 1.73505E10, 151.088, 383.382, -46.9765
130, 0.00000, 4.71525E15, 88.4256, 4.71537E15, -31.5795, 4.71495E15, -151.578, 0, 0, 4.89718E13, 174.842, 4.8973E13, 54.8371, 4.89687E13, -65.1616, 1.44851E6, 119.68
131, 0.00000, 1.31386E19, -127.822, 1.31391E19, 112.171, 1.31375E19, -7.82779, 0, 0, 1.36838E17, -41.4059, 1.36843E17, -161.412, 1.36827E17, 78.5888, 4.58827E9, -75.5094
132, 0.00000, 3.67552E22, 15.9295, 3.67573E22, -104.079, 3.67517E22, 135.923, 0, 0, 3.83558E20, 102.346, 3.8358E20, -17.662, 3.83522E20, -137.661, 1.29046E13, 88.3169
133, 0.00000, 9.54368E25, 159.682, 9.54434E25, 39.6725, 9.5426E25, -80.326, 0, 0, 9.69587E23, -113.901, 9.69653E23, 126.089, 9.69479E23, 6.09055, 2.96047E16, -108.199
134, 0.00000, 2.68065E29, -56.566, 2.68088E29, -176.577, 2.68031E29, 63.4242, 0, 0, 2.78537E27, 29.8506, 2.7856E27, -90.1606, 2.78502E27, 149.841, 6.56859E19, 54.2154
135, 0.00000, 7.54398E32, 87.1858, 7.54475E32, -32.827, 7.54291E32, -152.826, 0, 0, 7.85087E30, 173.602, 7.85166E30, 53.5897, 7.84976E30, -66.4089, 1.12714E23, -145.542
136, 0.00000, 2.12072E36, -129.062, 2.12096E36, 110.923, 2.12038E36, -9.07531, 0, 0, 2.20956E34, -42.6458, 2.20982E34, -162.66, 2.20921E34, 77.3413, 9.33018E25, -0.178192
137, 0.00000, +Inf, 14.6896, +Inf, -105.326, +Inf, 134.675, 0, 0, 6.26009E37, 101.106, 6.26091E37, -18.9096, 6.25901E37, -138.908, 4.22394E29, 20.8255
138, 0.00000, 4.45492E32, 158.436, 4.45496E32, 38.421, 4.4539E32, -81.5717, 0, 0, 2.38733E31, -115.147, 2.38737E31, 124.838, 2.38679E31, 4.84487, 8.78141E23, 131.036
139, 0.00000, 6.06313E24, -57.8293, 6.06217E24, -177.842, 6.06145E24, 62.172, 0, 0, 2.75208E23, 28.5884, 2.75167E23, -91.4248, 2.75133E23, 148.589, 4.51408E16, -64.4109
140, 0.00000, 7.07038E16, 85.9036, 7.06805E16, -34.1068, 7.0681E16, -154.085, 0, 0, 3.21696E15, 172.321, 3.21594E15, 52.3109, 3.21594E15, -67.6681, 2.09333E9, 113.193
141, 0.00000, 2.89111E8, -130.369, 2.88962E8, 109.624, 2.89007E8, -10.3465, 0, 0, 1.17141E7, -43.9506, 1.17082E7, -163.958, 1.17099E7, 76.071, 32.9138, -65.4194
142, 0.00000, 0.318198, 99.7699, 0.317386, -20.2413, 0.317806, -140.227, 0, 0, 0.0236235, -173.811, 0.0235681, 66.1807, 0.0235951, -53.7993, 0.0000416321, 39.5142
143, 0.00000, 0.000699656, -159.488, 0.00069715, 80.4837, 0.000698727, -39.534, 0, 0, 0.000054151, -73.0698, 0.0000539788, 166.91, 0.0000540804, 46.9043, 1.67158E-7, 147.976
144, 0.00000, 0.0000120482, 27.6843, 0.0000119929, -92.37, 0.0000120323, 147.583, 0, 0, 9.25391E-7, 114.096, 9.21646E-7, -5.94283, 9.24154E-7, -125.974, 4.23566E-9, -19.7154
145, 0.00000, 8.95322E-8, -145.128, 8.89154E-8, 94.7523, 8.94212E-8, -25.363, 0, 0, 1.03126E-8, -58.7203, 1.02549E-8, -178.802, 1.0299E-8, 61.1206, 7.64832E-11, 172.593
146, 0.00000, 1.44229E-10, 42.122, 1.41811E-10, -78.3001, 1.44155E-10, 161.291, 0, 0, 3.60228E-11, 128.503, 3.5641E-11, 8.27537, 3.59818E-11, -111.954, 6.10656E-13, 4.90099
147, 0.00000, 3.20536E-13, -130.161, 3.08244E-13, 108.51, 3.21679E-13, -12.4558, 0, 0, 6.84315E-14, -44.1294, 6.67014E-14, -164.88, 6.84886E-14, 74.4805, 3.194E-15, -162.791
148, 0.00000, 3.61525E-16, 55.6204, 3.60373E-16, -64.3063, 3.61682E-16, 175.752, 0, 0, 1.07506E-16, -37.5184, 1.06744E-16, -157.664, 1.07566E-16, 82.2846, 1.12126E-18, -150.482
149, 0.00000, 3.99442E-19, -117.828, 3.98207E-19, 122.359, 3.99961E-19, 2.41783, 0, 0, 1.26211E-19, 148.889, 1.25847E-19, 29.0303, 1.26314E-19, -90.9046, 2.19018E-23, 41.8311
150, 0.00000, 4.56656E-22, 68.758, 4.55011E-22, -50.9715, 4.57698E-22, -170.929, 0, 0, 1.41407E-22, -24.5374, 1.40934E-22, -144.308, 1.41661E-22, 95.7428, 4.04534E-28, -125.541
