solar_ref_shape,wind_ref_shape
0.0,0.972
0.0,0.99
0.0,0.788
0.0,0.684
0.0,0.706
0.0,0.477
0.0,0.16
0.0,0.045
0.0,0.009
0.0,0.101
0.0,0.233
0.09403546592879733,0.225
0.06972583882239912,0.083
0.3872605383796647,0.019
0.18147531607051134,0.025
0.19089770408984286,0.049
0.17761212581729574,0.049
0.22038997956556583,0.064
0.11740302171260862,0.042
0.0260059137515421,0.16
0.0,0.281
0.0,0.445
0.0,0.719
0.0,0.521
0.0,0.644
0.0,0.511
0.0,0.421
0.0,0.407
0.0,0.283
0.0,0.146
0.0,0.135
0.0,0.105
0.0,0.076
0.0,0.044
0.0,0.023
0.10147936460457442,0.042
0.10016018562070902,0.115
0.39216014665384774,0.186
0.46819911943267595,0.789
0.4870438954713389,1.0
0.44643322446338435,1.0
0.35475335553941983,1.0
0.14529335724156828,1.0
0.040139495780539304,1.0
