Microgrid,Location,Recommended Upgrade,Cost Estimate ($)
mg0,load_3043,AMI disconnect meter,5000
mg0,load_3044,AMI disconnect meter,5000
mg0,load_3045,AMI disconnect meter,5000
mg0,load_3047,AMI disconnect meter,5000
mg0,load_3048,AMI disconnect meter,5000
mg0,load_3049,AMI disconnect meter,5000
mg0,load_3050,AMI disconnect meter,5000
mg0,load_3051,AMI disconnect meter,5000
mg0,load_3052,AMI disconnect meter,5000
mg0,load_3054,AMI disconnect meter,5000
mg0,load_3056,AMI disconnect meter,5000
mg0,load_3057,AMI disconnect meter,5000
mg0,load_3058,AMI disconnect meter,5000
mg0,load_3059,AMI disconnect meter,5000
mg0,load_3060,AMI disconnect meter,5000
mg0,load_3061,AMI disconnect meter,5000
mg0,load_3062,AMI disconnect meter,5000
mg0,load_3063,AMI disconnect meter,5000
mg0,load_3064,AMI disconnect meter,5000
mg0,load_3065,AMI disconnect meter,5000
mg0,load_3066,AMI disconnect meter,5000
mg0,load_3067,AMI disconnect meter,5000
mg0,load_3070,AMI disconnect meter,5000
mg0,load_3071,AMI disconnect meter,5000
mg0,load_3072,AMI disconnect meter,5000
mg0,load_3073,AMI disconnect meter,5000
mg0,load_3074,AMI disconnect meter,5000
mg0,load_3077,AMI disconnect meter,5000
mg0,load_3078,AMI disconnect meter,5000
mg0,load_3081,AMI disconnect meter,5000
mg0,load_3083,AMI disconnect meter,5000
mg0,load_3084,AMI disconnect meter,5000
mg0,load_3085,AMI disconnect meter,5000
mg0,load_3086,AMI disconnect meter,5000
mg0,load_3087,AMI disconnect meter,5000
mg0,load_3088,AMI disconnect meter,5000
mg0,load_3089,AMI disconnect meter,5000
mg0,load_3090,AMI disconnect meter,5000
mg0,load_3091,AMI disconnect meter,5000
mg0,load_3093,AMI disconnect meter,5000
mg0,load_3094,AMI disconnect meter,5000
mg0,load_3095,AMI disconnect meter,5000
mg0,load_3096,AMI disconnect meter,5000
mg0,load_3097,AMI disconnect meter,5000
mg0,load_3098,AMI disconnect meter,5000
mg0,load_3099,AMI disconnect meter,5000
mg0,load_3101,AMI disconnect meter,5000
mg0,load_3102,AMI disconnect meter,5000
mg0,load_3103,AMI disconnect meter,5000
mg0,load_3104,AMI disconnect meter,5000
mg0,load_3105,AMI disconnect meter,5000
mg0,load_3106,AMI disconnect meter,5000
mg0,load_3108,AMI disconnect meter,5000
mg0,load_3109,AMI disconnect meter,5000
mg0,load_3110,AMI disconnect meter,5000
mg0,load_3111,AMI disconnect meter,5000
mg0,load_3112,AMI disconnect meter,5000
mg0,load_3114,AMI disconnect meter,5000
mg0,load_3115,AMI disconnect meter,5000
mg0,load_3116,AMI disconnect meter,5000
mg0,load_3117,AMI disconnect meter,5000
mg0,load_3120,AMI disconnect meter,5000
mg0,load_3121,AMI disconnect meter,5000
mg0,load_3122,AMI disconnect meter,5000
mg0,load_3123,AMI disconnect meter,5000
mg0,load_3124,AMI disconnect meter,5000
mg0,load_3125,AMI disconnect meter,5000
mg0,load_3126,AMI disconnect meter,5000
mg0,load_3127,AMI disconnect meter,5000
mg0,load_3128,AMI disconnect meter,5000
mg0,load_3129,AMI disconnect meter,5000
mg0,load_3130,AMI disconnect meter,5000
mg0,load_3131,AMI disconnect meter,5000
mg0,load_3132,AMI disconnect meter,5000
mg0,load_3134,AMI disconnect meter,5000
mg0,load_3135,AMI disconnect meter,5000
mg0,load_3136,AMI disconnect meter,5000
mg0,load_3137,AMI disconnect meter,5000
mg0,load_3138,AMI disconnect meter,5000
mg0,load_3139,AMI disconnect meter,5000
mg0,load_3141,AMI disconnect meter,5000
mg0,load_3142,AMI disconnect meter,5000
mg0,load_3143,AMI disconnect meter,5000
mg0,load_3144,AMI disconnect meter,5000
mg0,load_3145,AMI disconnect meter,5000
mg0,load_3146,AMI disconnect meter,5000
mg0,load_3147,AMI disconnect meter,5000
mg0,load_3148,AMI disconnect meter,5000
mg0,load_3149,AMI disconnect meter,5000
mg0,load_3150,AMI disconnect meter,5000
mg0,load_3151,AMI disconnect meter,5000
mg0,load_3152,AMI disconnect meter,5000
mg0,load_3153,AMI disconnect meter,5000
mg0,load_3154,AMI disconnect meter,5000
mg0,load_3155,AMI disconnect meter,5000
mg0,load_3157,AMI disconnect meter,5000
mg0,load_3158,AMI disconnect meter,5000
mg0,load_3159,AMI disconnect meter,5000
mg0,load_3160,AMI disconnect meter,5000
mg0,load_3161,AMI disconnect meter,5000
mg0,load_3162,AMI disconnect meter,5000
