solar_bus_fault,fossil_bus_fault,battery_bus_fault
0.0,101.072,0.0
0.0,373.71,0.0
0.0,815.93,0.0
361.527,437.59999999999997,0.0
117.47100000000002,669.643,0.0
221.44,610.925,0.0
327.771,431.396,0.9999999079541247
1636.155,0.0,-0.9999999079541247
1495.392,0.0,-0.11288942268383832
104.644,544.276,0.8985578245077454
763.899,0.0,-0.9999999079541247
210.975,425.66600000000005,0.0
0.0,676.9,0.0
0.0,613.058,0.0
0.0,537.97,0.0
0.0,470.67699999999996,0.0
0.0,360.013,0.0
0.0,5.519999999999999,0.9999999079541247
0.0,0.0,-0.7544263002547807
0.0,0.0,-0.3584630303831822
