solar_670,fossil_670,fossil_675_existing,wind_670,battery_670
1059.743,0.0,0.0,0.633,-0.24283861768202045
559.507,0.0,0.0,0.865,0.0
47.89,0.0,0.0,0.466,0.5910798937275822
0.0,0.0,0.0,0.876,0.42246895932486295
0.0,0.0,0.0,1.0,0.4206847038580682
0.0,0.0,0.0,1.0,0.28136429069407726
0.0,0.0,0.0,1.0,0.2012864707489525
0.0,0.0,0.0,1.0,0.0217901293475269
0.0,0.0,0.0,1.0,-0.04108857853032829
0.0,0.0,0.0,0.98,-0.07053965861688044
0.0,0.0,0.0,1.0,-0.0775813109428707
0.0,0.0,0.0,1.0,-0.0856997940377249
0.0,0.0,0.0,1.0,-0.08467970210982129
0.0,0.0,0.0,0.331,0.05939228718225088
0.0,0.0,0.0,0.849,0.12012819840681742
0.0,0.0,0.0,0.952,0.4406519470385721
0.0,0.0,0.0,0.23,0.5667328949086945
456.13999999999993,0.0,0.0,0.629,0.029231367979003674
1063.537,0.0,0.0,0.712,-0.6829485277080142
1412.991,0.0,0.0,0.536,-0.31950969275076174
598.862,0.0,0.0,0.384,0.0
1064.959,0.0,0.0,0.438,0.0
1062.114,0.0,0.0,0.453,0.0
867.709,0.0,0.0,0.415,0.0
753.437,0.0,0.0,0.365,0.0
395.448,0.0,0.0,0.38,0.16900327745191293
31.294,0.0,0.0,0.325,0.5870212557848461
0.0,0.0,0.0,0.553,0.3765575793129075
0.0,0.0,0.0,0.44,0.37308564512988884
0.0,0.0,0.0,0.704,0.23366624079656284
0.0,0.0,0.0,0.469,0.16176605720601686
0.0,0.0,0.0,0.627,0.0
0.0,0.0,0.0,0.313,0.0
0.0,0.0,0.0,0.398,0.0
0.0,0.0,0.0,0.263,0.0
0.0,0.0,0.0,0.17,0.0
0.0,0.0,0.0,0.152,0.0
0.0,0.0,0.0,0.122,0.009274989682939012
0.0,0.0,0.0,0.098,0.04897044858628413
0.0,0.0,0.0,0.083,0.3788500699295808
0.0,0.0,0.0,0.069,0.5148542789208485
694.168,0.0,0.0,0.054,0.0
1590.3259999999998,0.0,0.0,0.0,-0.4036896101763794
2061.858,0.0,0.0,0.0,-1.00000034215675
2077.5,0.0,0.0,0.0,-1.00000034215675
2052.049,0.0,0.0,0.0,-1.00000034215675
2095.561,0.0,0.0,0.0,-1.00000034215675
2046.092,0.0,0.0,0.0,-0.9203607392173402
1302.484,0.0,0.0,0.003,0.0
1013.7500000000001,0.0,0.0,0.0,0.0
199.146,0.0,0.0,0.011,0.46418649394328326
0.0,0.0,0.0,0.021,0.46662747131395915
0.0,0.0,0.0,0.073,0.4592502147797355
0.0,0.0,0.0,0.162,0.3152965320071125
0.0,0.0,0.0,0.269,0.23659734517638528
0.0,0.0,0.0,0.312,0.057397977282964766
0.0,0.0,0.0,0.356,0.0
0.0,0.0,0.0,0.242,0.0
0.0,0.0,0.0,0.22,0.0
0.0,0.0,0.0,0.238,0.0
0.0,0.0,0.0,0.417,0.0
0.0,0.0,0.0,0.608,0.044814026683595215
0.0,0.0,0.0,0.498,0.10066194711989934
0.0,0.0,0.0,0.379,0.9572953102637438
0.0,0.0,0.0,0.355,1.00000034215675
754.86,0.0,0.0,0.206,0.6818535887984182
1684.21,0.0,0.0,0.156,-0.3377457976772848
2262.607,0.0,0.0,0.062,-1.00000034215675
2232.149,0.0,0.0,0.04,-1.00000034215675
2190.267,0.0,0.0,0.061,-1.00000034215675
2235.425,0.0,0.0,0.108,-1.00000034215675
2232.511,0.0,0.0,0.292,-0.986305758925817
1413.389,0.0,0.0,0.244,0.0
1023.233,0.0,0.0,0.187,0.0
194.405,0.0,0.0,0.096,0.5220226882319629
0.0,0.0,0.0,0.145,0.4697541436136874
0.0,0.0,0.0,0.291,0.45165686776610975
0.0,0.0,0.0,0.238,0.30713700379326575
0.0,0.0,0.0,0.187,0.2237562589786211
0.0,0.0,0.0,0.077,0.03279746449382885
0.0,0.0,0.0,0.034,0.0
0.0,0.0,0.0,0.039,0.0
0.0,0.0,0.0,0.028,0.0
0.0,0.0,0.0,0.046,0.0
0.0,0.0,0.0,0.033,0.0
0.0,0.0,0.0,0.029,0.010787623038753483
0.0,0.0,0.0,0.031,0.05943695392938986
0.0,0.0,0.0,0.001,0.4726816263653634
0.0,0.0,0.0,0.0,1.00000034215675
596.491,0.0,0.0,0.0,0.9110145241808553
1412.517,0.0,0.0,0.0,-0.012651554324769082
