Microgrid,Location,Recommended Upgrade,Cost Estimate ($)
mg0,load_3061,3-phase relay,20000
mg0,load_3062,3-phase relay,20000
mg0,load_3063,3-phase relay,20000
mg0,load_3064,3-phase relay,20000
mg0,load_3065,3-phase relay,20000
mg0,load_3066,3-phase relay,20000
mg0,load_3067,3-phase relay,20000
mg0,load_3070,3-phase relay,20000
mg0,load_3071,3-phase relay,20000
mg0,load_3072,3-phase relay,20000
mg0,load_3073,3-phase relay,20000
mg0,load_3074,3-phase relay,20000
mg0,load_3077,3-phase relay,20000
mg0,load_3078,3-phase relay,20000
mg0,load_3081,3-phase relay,20000
mg0,load_3083,3-phase relay,20000
mg0,load_3084,3-phase relay,20000
mg0,load_3085,3-phase relay,20000
mg0,load_3086,3-phase relay,20000
mg0,load_3087,3-phase relay,20000
mg0,load_3088,3-phase relay,20000
mg0,load_3089,3-phase relay,20000
mg0,load_3090,3-phase relay,20000
mg0,load_3091,3-phase relay,20000
mg0,load_3093,3-phase relay,20000
mg0,load_3094,3-phase relay,20000
mg0,load_3095,3-phase relay,20000
mg0,load_3096,3-phase relay,20000
mg0,load_3097,3-phase relay,20000
mg0,load_3098,3-phase relay,20000
mg0,load_3099,3-phase relay,20000
mg0,load_3101,3-phase relay,20000
mg0,load_3102,3-phase relay,20000
mg0,load_3103,3-phase relay,20000
mg0,load_3104,3-phase relay,20000
mg0,load_3105,3-phase relay,20000
mg0,load_3106,3-phase relay,20000
mg0,load_3108,3-phase relay,20000
mg0,load_3109,3-phase relay,20000
mg0,load_3110,3-phase relay,20000
mg0,load_3111,3-phase relay,20000
mg0,load_3112,3-phase relay,20000
mg0,load_3114,3-phase relay,20000
mg0,load_3115,3-phase relay,20000
mg0,load_3116,3-phase relay,20000
mg0,load_3117,3-phase relay,20000
mg0,load_3120,3-phase relay,20000
mg0,load_3121,3-phase relay,20000
mg0,load_3122,3-phase relay,20000
mg0,load_3123,3-phase relay,20000
mg0,load_3124,3-phase relay,20000
mg0,load_3125,3-phase relay,20000
mg0,load_3126,3-phase relay,20000
mg0,load_3127,3-phase relay,20000
mg0,load_3128,3-phase relay,20000
mg0,load_3129,3-phase relay,20000
mg0,load_3130,3-phase relay,20000
mg0,load_3131,3-phase relay,20000
mg0,load_3132,3-phase relay,20000
mg0,load_3134,3-phase relay,20000
mg0,load_3135,3-phase relay,20000
mg0,load_3136,3-phase relay,20000
mg0,load_3137,3-phase relay,20000
mg0,load_3138,3-phase relay,20000
mg0,load_3139,3-phase relay,20000
mg0,load_3141,3-phase relay,20000
mg0,load_3142,3-phase relay,20000
mg0,load_3143,3-phase relay,20000
mg0,load_3144,3-phase relay,20000
mg0,load_3145,3-phase relay,20000
mg0,load_3146,3-phase relay,20000
mg0,load_3147,3-phase relay,20000
mg0,load_3148,3-phase relay,20000
mg0,load_3149,3-phase relay,20000
mg0,load_3150,3-phase relay,20000
mg0,load_3151,3-phase relay,20000
mg0,load_3152,3-phase relay,20000
mg0,load_3153,3-phase relay,20000
mg0,load_3154,3-phase relay,20000
mg0,load_3155,3-phase relay,20000
mg0,load_3157,3-phase relay,20000
mg0,load_3158,3-phase relay,20000
mg0,load_3159,3-phase relay,20000
mg0,load_3160,3-phase relay,20000
mg0,load_3161,3-phase relay,20000
mg0,load_3162,3-phase relay,20000
