Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3, Node4, Magnitude4, Angle4, pu4, Node5, Magnitude5, Angle5, pu5, Node6, Magnitude6, Angle6, pu6
"BUS2022", 12.47, 3,    8119.54,   88.4,    1.1278, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2023", 12.47, 3,    8119.43,   88.4,    1.1278, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2024", 12.47, 3,    8119.15,   88.4,    1.1277, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2025", 12.47, 3,    8119.02,   88.4,    1.1277, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2026", 12.47, 1,    8102.52,  -31.7,    1.1254, 2,    8110.63, -151.5,    1.1265, 3,    8119.78,   88.4,    1.1278, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2027", 12.47, 1,    8101.06,  -31.7,    1.1252, 2,    8109.24, -151.5,    1.1264, 3,    8118.66,   88.4,    1.1277, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2028", 12.47, 1,    8100.82,  -31.7,    1.1252, 2,    8109.15, -151.5,    1.1263, 3,    8118.56,   88.4,    1.1276, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2029", 12.47, 1,    8100.71,  -31.7,    1.1252, 2,    8109.11, -151.5,    1.1263, 3,    8118.52,   88.4,    1.1276, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2030", 12.47, 1,    8100.61,  -31.7,    1.1252, 2,     8109.1, -151.5,    1.1263, 3,     8118.5,   88.4,    1.1276, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2031", 12.47, 1,     8100.5,  -31.7,    1.1251, 2,    8109.12, -151.5,    1.1263, 3,    8118.52,   88.4,    1.1276, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2032", 12.47, 1,    8100.54,  -31.7,    1.1251, 2,    8108.69, -151.5,    1.1263, 3,    8118.25,   88.4,    1.1276, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2033", 12.47, 1,    8099.54,  -31.7,     1.125, 2,    8107.64, -151.5,    1.1261, 3,    8117.45,   88.4,    1.1275, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2034", 12.47, 1,    8099.52,  -31.7,     1.125, 2,    8107.62, -151.5,    1.1261, 3,    8117.43,   88.4,    1.1275, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2035", 12.47, 1,       8099,  -31.7,    1.1249, 2,    8107.07, -151.6,    1.1261, 3,    8117.02,   88.4,    1.1274, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2036", 12.47, 1,    8098.46,  -31.7,    1.1249, 2,     8106.5, -151.6,     1.126, 3,     8116.6,   88.4,    1.1274, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2037", 12.47, 1,     8098.2,  -31.7,    1.1248, 2,    8106.22, -151.6,    1.1259, 3,    8116.39,   88.4,    1.1273, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2038", 12.47, 1,    8097.57,  -31.7,    1.1247, 2,    8105.56, -151.6,    1.1258, 3,     8115.9,   88.4,    1.1273, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2039", 12.47, 1,     8094.7,  -31.7,    1.1243, 2,    8102.55, -151.6,    1.1254, 3,     8113.6,   88.4,     1.127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2040", 12.47, 1,    8094.32,  -31.7,    1.1243, 2,    8102.16, -151.6,    1.1254, 3,    8113.22,   88.4,    1.1269, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2041", 12.47, 1,    8094.31,  -31.7,    1.1243, 2,    8102.15, -151.6,    1.1254, 3,    8113.21,   88.4,    1.1269, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2042", 12.47, 1,    8094.57,  -31.7,    1.1243, 2,    8102.38, -151.6,    1.1254, 3,    8113.49,   88.4,    1.1269, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2043", 12.47, 1,    8093.98,  -31.7,    1.1242, 2,    8101.66, -151.6,    1.1253, 3,    8113.01,   88.4,    1.1269, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2044", 12.47, 1,    8092.78,  -31.7,    1.1241, 2,    8100.15, -151.6,    1.1251, 3,    8112.04,   88.4,    1.1267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2045", 12.47, 2,    8099.35, -151.6,     1.125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2046", 12.47, 2,    8099.04, -151.6,    1.1249, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2047", 12.47, 2,    8099.12, -151.6,    1.1249, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2048", 12.47, 2,    8098.98, -151.6,    1.1249, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2049", 12.47, 1,    8092.68,  -31.7,    1.1241, 2,    8100.02, -151.6,    1.1251, 3,    8111.68,   88.4,    1.1267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2050", 12.47, 1,    8092.57,  -31.7,     1.124, 2,    8099.89, -151.6,    1.1251, 3,    8111.38,   88.4,    1.1267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2051", 12.47, 1,    8092.44,  -31.7,     1.124, 2,    8099.74, -151.6,     1.125, 3,    8111.12,   88.4,    1.1266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2052", 12.47, 1,    8092.28,  -31.7,     1.124, 2,    8099.59, -151.6,     1.125, 3,    8110.97,   88.4,    1.1266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2053", 12.47, 1,    8091.37,  -31.7,    1.1239, 2,    8099.62, -151.6,     1.125, 3,    8111.76,   88.4,    1.1267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2054", 12.47, 1,    8091.08,  -31.7,    1.1238, 2,    8099.68, -151.6,     1.125, 3,     8111.8,   88.4,    1.1267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2055", 12.47, 1,     8090.9,  -31.7,    1.1238, 2,    8099.73, -151.6,     1.125, 3,    8111.82,   88.4,    1.1267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2056", 12.47, 1,    8090.78,  -31.7,    1.1238, 2,    8099.75, -151.6,     1.125, 3,    8111.84,   88.4,    1.1267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2057", 12.47, 1,    8090.77,  -31.7,    1.1238, 2,    8098.49, -151.6,    1.1249, 3,     8111.2,   88.4,    1.1266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2058", 12.47, 1,     8090.4,  -31.7,    1.1237, 2,    8098.13, -151.6,    1.1248, 3,    8110.83,   88.4,    1.1266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2059", 12.47, 1,    8090.82,  -31.7,    1.1238, 2,    8098.08, -151.6,    1.1248, 3,    8111.29,   88.4,    1.1266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2060", 12.47, 1,    8090.83,  -31.7,    1.1238, 2,    8098.01, -151.6,    1.1248, 3,    8111.31,   88.4,    1.1266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS3001", 12.47, 1,    8124.46,  -31.6,    1.1285, 2,    8138.06, -151.4,    1.1304, 3,     8138.1,   88.5,    1.1304, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS3003", 12.47, 1,    8089.85,  -31.7,    1.1237, 2,    8119.73, -151.4,    1.1278, 3,    8111.67,   88.5,    1.1267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
