pv_production_factor_series,wind_production_factor_series
0.0026869999999999997,0.0
0.070424,0.030351543152279333
0.077519,0.0
0.079846,0.0
0.091776,0.013434226477906392
0.145734,0.07138847899516558
0.215869,0.08483964442256871
0.160524,0.0952270896206603
0.061166,0.0
0.002593,0.007587060892792479
0.0,0.0648017134662851
0.0,0.03136374635574212
0.0,0.058248805891590434
0.0,0.08468723771369537
0.0,0.06589784844663457
0.0,0.19465939599624768
0.0,0.30217897552485024
0.0,0.2619174922360534
0.0,0.38219620825056483
0.0,0.5898808077776234
0.0,0.9878970550836487
0.0,0.9770285920908124
0.0,1.0
0.0,1.0
0.145412,1.0
0.35762900000000003,0.4256540054604434
0.506702,0.9922016714488759
0.595742,0.780761144480468
0.6298339999999999,0.5434115034541491
0.6127670000000001,0.8816153475211986
0.547092,1.0
0.434227,0.6613170933389246
0.250976,1.0
0.030532,0.5690680458795264
0.0,0.2637403970965914
0.0,0.647314681251178
0.0,0.42833618423463965
0.0,0.36479684029311443
0.0,0.41298905736264363
0.0,0.4186965020271958
0.0,0.19669084747436422
0.0,0.12774268447960072
0.0,0.04280316426226032
0.0,0.05035849863823135
0.0,0.03298226002405936
0.0,0.014746663013001239
0.0,0.0031740726021374285
0.0,0.024171062118347138
0.151208,0.14401444960175502
0.359774,0.09702119871522978
0.5026700000000001,0.037895316498202436
0.589025,0.17501430090879944
0.546098,0.532227635598915
0.515415,0.9182506789377194
0.5428930000000001,1.0
0.428059,1.0
0.24865,0.950505856787428
0.033665,0.44000919945286293
0.0,0.2566016456277747
0.0,0.5230791900251692
0.0,0.948754502269855
0.0,0.6872210270825535
0.0,0.7668725562464924
0.0,0.9786138588508734
0.0,0.8702803737950189
0.0,0.9926768591071496
0.0,0.9595295774022614
0.0,0.9539490436485503
0.0,0.848886804273096
0.0,0.7504442820883437
0.0,0.3126902399055658
0.0,0.0749964554325907
0.065069,0.101293478991649
0.211674,0.14942791411145628
0.401092,0.1424865106412639
0.42352300000000004,0.16679477463904482
0.463246,0.1141895505843628
0.506368,0.11293118535203342
0.428928,0.11815750786085187
0.348777,0.13229160180395905
0.225071,0.13149242800089364
0.031564,0.12589821137943574
0.0,0.2442213661453984
0.0,0.25441425490192615
0.0,0.3214891105279473
0.0,0.4611716188925579
0.0,0.5233368911800994
0.0,0.5596511264864278
0.0,0.4255131801657702
0.0,0.47953972926835126
0.0,0.48919805194950367
0.0,0.4387299693437787
0.0,0.2757003095574795
0.0,0.15165570579687437
0.0,0.11223211585105627
0.0,0.1411963860153308
0.06749200000000001,0.07310983468883056
0.277017,0.004264615966922392
0.289325,0.011521790811062303
0.550338,0.04524002461347875
0.589185,0.022150443983946742
0.576778,0.018146689185850405
0.516004,0.016642285900652524
0.40495600000000004,0.0031883744229346147
0.22141999999999998,0.02926888263109403
0.033117,0.007770085324368026
0.0,0.05465363486233419
0.0,0.1630447852739585
0.0,0.3635962166948209
0.0,0.6498010635556486
0.0,0.7956580103832038
0.0,0.6710250312182862
0.0,0.8494767968407823
0.0,0.8420984584909889
0.0,0.40714301986688894
0.0,0.4204302105795902
0.0,0.24636611022760338
0.0,0.44185904466955606
0.0,0.40966055156092446
0.0,0.5728434631908624
0.078354,0.632079029411677
0.19821100000000003,0.1194626259882312
0.324235,0.0026198320539098175
0.349951,0.024070926883495956
0.380299,0.06511542085097041
0.365908,0.0754932345891221
0.293646,0.08011366955120358
0.189215,0.08002569061876945
0.172933,0.058373054288376
0.029463999999999997,0.08754830663205411
0.0,0.0885289353975221
0.0,0.1961009465944908
0.0,0.24217454547106285
0.0,0.3408551137999519
0.0,0.3501535827756406
0.0,0.46117931556742314
0.0,0.5180754476908962
0.0,0.6301990541994957
0.0,0.6951431463550162
0.0,0.7775338720130803
0.0,0.8032299888383136
0.0,0.8517670983970861
0.0,0.8155104439567377
0.0,0.8709516522096173
0.060326,0.7737963302872863
0.286099,0.14268587621765294
0.497282,0.04284894292879879
0.580305,0.05877883987963638
0.614587,0.12070138702064667
0.600365,0.1486701918462196
0.5378440000000001,0.11189216205393415
0.318713,0.09261024792240415
0.256313,0.07251190550787805
0.047973999999999996,0.024979544537535217
0.0,0.06464636145878644
0.0,0.03328260743540783
0.0,0.022842475275501456
0.0,0.0
0.0,0.022599245361176627
0.0,0.07477556228042512
0.0,0.37472520036049867
