hour,t(sec),P1(kW),Q1(kvar),P2(kW),Q2(kvar),P3(kW),Q3(kvar),P4(kW),Q4(kvar),Name,V1,VAngle1,V2,VAngle2,V3,VAngle3,I1,IAngle1,I2,IAngle2,I3,IAngle3
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
38,0.0,-45.839,3.12211e-07,-45.8348,-7.51163e-08,-45.8372,-9.47767e-07,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
41,0.0,63.4464,-1.21359e-06,63.4438,-3.10117e-06,63.4456,-1.44713e-06,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus1001,,,,,,,,,,,,
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
12,0.0,-60.148,-0.000159955,-60.3523,-0.000194193,-60.3744,-0.00016905,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
13,0.0,-104.181,0.00103743,-104.416,0.000784106,-104.47,0.000820484,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
17,0.0,227.007,0.00867936,227.545,0.00830675,227.323,0.00865387,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
38,0.0,-56.2466,-7.26896e-06,-56.2422,-9.40302e-06,-56.2446,-9.0068e-06,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
39,0.0,-105.711,3.16779e-07,-105.705,-4.6391e-06,-105.709,-4.01765e-06,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
40,0.0,44.7344,-4.2992e-06,44.7313,-5.34579e-06,44.7335,-3.79087e-06,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
41,0.0,117.157,1.66232e-05,117.15,1.39154e-05,117.156,1.31164e-05,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
80,0.0,-18.6762,0.000703437,-18.5408,-9.26241e-06,-18.5756,6.78701e-05,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
81,0.0,20.7382,0.000102726,20.7887,0.00129213,20.8253,0.00115474,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus2001,,,,,,,,,,,,
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus3004,,,,,,,,,,,,
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus3004,,,,,,,,,,,,
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus3004,,,,,,,,,,,,
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus3004,,,,,,,,,,,,
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus3004,,,,,,,,,,,,
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus3004,,,,,,,,,,,,
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus3004,,,,,,,,,,,,
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus3004,,,,,,,,,,,,
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus3004,,,,,,,,,,,,
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus3004,,,,,,,,,,,,
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus3004,,,,,,,,,,,,
12,0.0,-1.07141,-2.85167e-06,-1.08185,-3.45281e-06,-1.07751,-3.05156e-06,0,0,mongenerator-battery_bus3004,,,,,,,,,,,,
13,0.0,-1.39536,1.33614e-05,-1.40628,1.15153e-05,-1.40174,1.16125e-05,0,0,mongenerator-battery_bus3004,,,,,,,,,,,,
14,0.0,-17.6975,3.22972e-05,-17.8085,3.60523e-05,-17.7773,3.65242e-05,0,0,mongenerator-battery_bus3004,,,,,,,,,,,,
15,0.0,-3.08818,-1.20618e-05,-3.11167,-1.42265e-05,-3.09914,-1.55103e-05,0,0,mongenerator-battery_bus3004,,,,,,,,,,,,
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus3004,,,,,,,,,,,,
17,0.0,1.34518,5.4267e-05,1.35426,5.16881e-05,1.34765,5.31858e-05,0,0,mongenerator-battery_bus3004,,,,,,,,,,,,
18,0.0,7.02049,-3.59137e-05,7.05964,-0.000107338,7.01882,-0.000173299,0,0,mongenerator-battery_bus3004,,,,,,,,,,,,
19,0.0,3.52281,4.50884e-07,3.54977,1.32086e-06,3.53401,3.16996e-06,0,0,mongenerator-battery_bus3004,,,,,,,,,,,,
20,0.0,7.18435,1.52668e-06,7.22838,-1.78634e-08,7.22004,5.96783e-06,0,0,mongenerator-battery_bus3004,,,,,,,,,,,,
21,0.0,5.48956,0.000268077,5.51859,0.000229058,5.50698,0.000122316,0,0,mongenerator-battery_bus3004,,,,,,,,,,,,
22,0.0,5.00173,3.76747e-07,5.03512,9.75564e-07,5.02326,2.69021e-06,0,0,mongenerator-battery_bus3004,,,,,,,,,,,,
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus3004,,,,,,,,,,,,
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus3004,,,,,,,,,,,,
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus3004,,,,,,,,,,,,
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus3004,,,,,,,,,,,,
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus3004,,,,,,,,,,,,
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus3004,,,,,,,,,,,,
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus3004,,,,,,,,,,,,
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus3004,,,,,,,,,,,,
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mongenerator-battery_bus3004,,,,,,,,,,,,
