hour,t(sec),Tap(pu),Type,Name
195,0.0,1.0,Capacitor,moncapacitor-cap1
196,0.0,1.0,Capacitor,moncapacitor-cap1
197,0.0,1.0,Capacitor,moncapacitor-cap1
198,0.0,1.0,Capacitor,moncapacitor-cap1
199,0.0,1.0,Capacitor,moncapacitor-cap1
200,0.0,1.0,Capacitor,moncapacitor-cap1
201,0.0,1.0,Capacitor,moncapacitor-cap1
202,0.0,1.0,Capacitor,moncapacitor-cap1
203,0.0,1.0,Capacitor,moncapacitor-cap1
204,0.0,1.0,Capacitor,moncapacitor-cap1
205,0.0,1.0,Capacitor,moncapacitor-cap1
206,0.0,1.0,Capacitor,moncapacitor-cap1
207,0.0,1.0,Capacitor,moncapacitor-cap1
208,0.0,1.0,Capacitor,moncapacitor-cap1
209,0.0,1.0,Capacitor,moncapacitor-cap1
210,0.0,1.0,Capacitor,moncapacitor-cap1
211,0.0,1.0,Capacitor,moncapacitor-cap1
212,0.0,1.0,Capacitor,moncapacitor-cap1
213,0.0,1.0,Capacitor,moncapacitor-cap1
214,0.0,1.0,Capacitor,moncapacitor-cap1
215,0.0,1.0,Capacitor,moncapacitor-cap1
216,0.0,1.0,Capacitor,moncapacitor-cap1
217,0.0,1.0,Capacitor,moncapacitor-cap1
218,0.0,1.0,Capacitor,moncapacitor-cap1
219,0.0,1.0,Capacitor,moncapacitor-cap1
220,0.0,1.0,Capacitor,moncapacitor-cap1
221,0.0,1.0,Capacitor,moncapacitor-cap1
222,0.0,1.0,Capacitor,moncapacitor-cap1
223,0.0,1.0,Capacitor,moncapacitor-cap1
224,0.0,1.0,Capacitor,moncapacitor-cap1
225,0.0,1.0,Capacitor,moncapacitor-cap1
226,0.0,1.0,Capacitor,moncapacitor-cap1
227,0.0,1.0,Capacitor,moncapacitor-cap1
228,0.0,1.0,Capacitor,moncapacitor-cap1
229,0.0,1.0,Capacitor,moncapacitor-cap1
230,0.0,1.0,Capacitor,moncapacitor-cap1
231,0.0,1.0,Capacitor,moncapacitor-cap1
232,0.0,1.0,Capacitor,moncapacitor-cap1
233,0.0,1.0,Capacitor,moncapacitor-cap1
234,0.0,1.0,Capacitor,moncapacitor-cap1
235,0.0,1.0,Capacitor,moncapacitor-cap1
236,0.0,1.0,Capacitor,moncapacitor-cap1
237,0.0,1.0,Capacitor,moncapacitor-cap1
238,0.0,1.0,Capacitor,moncapacitor-cap1
239,0.0,1.0,Capacitor,moncapacitor-cap1
240,0.0,1.0,Capacitor,moncapacitor-cap1
241,0.0,1.0,Capacitor,moncapacitor-cap1
242,0.0,1.0,Capacitor,moncapacitor-cap1
243,0.0,1.0,Capacitor,moncapacitor-cap1
244,0.0,1.0,Capacitor,moncapacitor-cap1
245,0.0,1.0,Capacitor,moncapacitor-cap1
246,0.0,1.0,Capacitor,moncapacitor-cap1
247,0.0,1.0,Capacitor,moncapacitor-cap1
248,0.0,1.0,Capacitor,moncapacitor-cap1
249,0.0,1.0,Capacitor,moncapacitor-cap1
250,0.0,1.0,Capacitor,moncapacitor-cap1
251,0.0,1.0,Capacitor,moncapacitor-cap1
252,0.0,1.0,Capacitor,moncapacitor-cap1
253,0.0,1.0,Capacitor,moncapacitor-cap1
254,0.0,1.0,Capacitor,moncapacitor-cap1
255,0.0,1.0,Capacitor,moncapacitor-cap1
256,0.0,1.0,Capacitor,moncapacitor-cap1
257,0.0,1.0,Capacitor,moncapacitor-cap1
258,0.0,1.0,Capacitor,moncapacitor-cap1
259,0.0,1.0,Capacitor,moncapacitor-cap1
260,0.0,1.0,Capacitor,moncapacitor-cap1
261,0.0,1.0,Capacitor,moncapacitor-cap1
262,0.0,1.0,Capacitor,moncapacitor-cap1
263,0.0,1.0,Capacitor,moncapacitor-cap1
264,0.0,1.0,Capacitor,moncapacitor-cap1
265,0.0,1.0,Capacitor,moncapacitor-cap1
266,0.0,1.0,Capacitor,moncapacitor-cap1
267,0.0,1.0,Capacitor,moncapacitor-cap1
268,0.0,1.0,Capacitor,moncapacitor-cap1
269,0.0,1.0,Capacitor,moncapacitor-cap1
270,0.0,1.0,Capacitor,moncapacitor-cap1
271,0.0,1.0,Capacitor,moncapacitor-cap1
272,0.0,1.0,Capacitor,moncapacitor-cap1
273,0.0,1.0,Capacitor,moncapacitor-cap1
274,0.0,1.0,Capacitor,moncapacitor-cap1
275,0.0,1.0,Capacitor,moncapacitor-cap1
276,0.0,1.0,Capacitor,moncapacitor-cap1
277,0.0,1.0,Capacitor,moncapacitor-cap1
278,0.0,1.0,Capacitor,moncapacitor-cap1
279,0.0,1.0,Capacitor,moncapacitor-cap1
280,0.0,1.0,Capacitor,moncapacitor-cap1
