hour,t(sec),V1,VAngle1,V2,VAngle2,V3,VAngle3,I1,IAngle1,I2,IAngle2,I3,IAngle3,Name,P1(kW),P2(kW),P3(kW)
67,0.0,453.941,-97.9983,,,,,85.8199,60.0,,,,,monisource-isource_newdiesel675_1_shape,38.9571712259,,
68,0.0,451.029,-97.9983,,,,,85.2679,60.0,,,,,monisource-isource_newdiesel675_1_shape,38.458295669099996,,
69,0.0,403.16900000000004,-97.9983,,,,,76.1976,60.0,,,,,monisource-isource_newdiesel675_1_shape,30.720510194400003,,
70,0.0,378.309,-97.9983,,,,,71.4863,60.0,,,,,monisource-isource_newdiesel675_1_shape,27.0439106667,,
71,0.0,326.682,-97.9983,,,,,61.702,60.0,,,,,monisource-isource_newdiesel675_1_shape,20.156932764,,
72,0.0,308.973,-97.9983,,,,,58.3459,60.0,,,,,monisource-isource_newdiesel675_1_shape,18.0273077607,,
73,0.0,294.97700000000003,-97.9983,,,,,55.6934,60.0,,,,,monisource-isource_newdiesel675_1_shape,16.428272051800004,,
74,0.0,293.837,-97.9983,,,,,55.4774,60.0,,,,,monisource-isource_newdiesel675_1_shape,16.3013127838,,
75,0.0,292.624,-97.9983,,,,,55.2475,60.0,,,,,monisource-isource_newdiesel675_1_shape,16.166744440000002,,
76,0.0,292.558,-97.9983,,,,,55.2349,60.0,,,,,monisource-isource_newdiesel675_1_shape,16.1594118742,,
77,0.0,339.60900000000004,-97.9983,,,,,64.1518,60.0,,,,,monisource-isource_newdiesel675_1_shape,21.7865286462,,
78,0.0,353.101,-97.9983,,,,,66.7088,60.0,,,,,monisource-isource_newdiesel675_1_shape,23.554943988799998,,
79,0.0,457.37199999999996,-97.9983,,,,,86.4701,60.0,,,,,monisource-isource_newdiesel675_1_shape,39.5490025772,,
80,0.0,503.236,-97.9983,,,,,95.1621,60.0,,,,,monisource-isource_newdiesel675_1_shape,47.88899455559999,,
81,0.0,336.375,-97.9983,,,,,63.5389,60.0,,,,,monisource-isource_newdiesel675_1_shape,21.372897487499998,,
82,0.0,100.113,-97.9983,,,,,18.7632,60.0,,,,,monisource-isource_newdiesel675_1_shape,1.8784402416000001,,
83,0.0,94.2356,82.0017,,,,,18.0693,-120.0,,,,,monisource-isource_newdiesel675_1_shape,1.70277132708,,
84,0.0,206.778,82.0017,,,,,39.398,-120.0,,,,,monisource-isource_newdiesel675_1_shape,8.146639644,,
85,0.0,269.748,82.0017,,,,,51.3319,-120.0,,,,,monisource-isource_newdiesel675_1_shape,13.8466773612,,
86,0.0,226.357,82.0017,,,,,43.1087,-120.0,,,,,monisource-isource_newdiesel675_1_shape,9.757956005899999,,
87,0.0,126.48299999999999,82.0017,,,,,24.1808,-120.0,,,,,monisource-isource_newdiesel675_1_shape,3.0584601264,,
88,0.0,42.5083,-97.9983,,,,,7.84607,60.0,,,,,monisource-isource_newdiesel675_1_shape,0.333523097381,,
89,0.0,306.279,-97.9983,,,,,57.8352,60.0,,,,,monisource-isource_newdiesel675_1_shape,17.7137072208,,
90,0.0,507.202,-97.9983,,,,,95.9137,60.0,,,,,monisource-isource_newdiesel675_1_shape,48.6476204674,,
91,0.0,478.906,-97.9983,,,,,90.5511,60.0,,,,,monisource-isource_newdiesel675_1_shape,43.365465096600005,,
92,0.0,472.76800000000003,-97.9983,,,,,89.3878,60.0,,,,,monisource-isource_newdiesel675_1_shape,42.259691430400004,,
93,0.0,421.793,-97.9983,,,,,79.7272,60.0,,,,,monisource-isource_newdiesel675_1_shape,33.628374869599995,,
