hour,684_command_center,634a_data_center,634b_radar,634c_atc_tower,645_hangar,646_office,692_warehouse2,675a_hospital,675b_residential1,675c_residential1,611_runway,652_residential,670a_residential2,670b_residential2,670c_residential2
33,595.037,78.255,62.87635487,26.085,76.57566667,168.9178391,76.57566667,319.8323875,16.45285635,65.8114254,73.86134135,31.53464134,4.113214088,15.08178499,28.79249861
34,615.612,92.83466667,74.59083056,30.94488889,92.66633333,145.0358426,92.66633333,330.89145,14.12167204,56.48668816,74.63457418,27.06653808,3.530418011,12.94486603,24.71292607
35,628.089,90.702,72.8772748,30.234,92.66633333,139.8140499,92.66633333,337.5978375,12.14734498,48.5893799,60.32389822,23.2824112,3.036836244,11.13506623,21.25785371
36,643.392,101.3136667,81.40354048,33.77122222,92.66633333,141.6906409,92.66633333,345.8232,12.53498976,50.13995906,62.41120434,24.02539705,3.133747442,11.49040729,21.93623209
37,633.345,96.822,77.79457455,32.274,83.52466667,143.3293919,83.52466667,340.4229375,12.26733791,49.06935165,63.38772183,23.51239766,3.066834479,11.24505975,21.46784135
38,649.39,96.68566667,77.68503339,32.22855556,92.66633333,138.9627545,92.66633333,349.047125,11.52315695,46.09262782,60.90041912,22.08605083,2.880789239,10.56289387,20.16552467
39,649.337,95.62266667,76.83093378,31.87422222,92.66633333,135.7167271,92.66633333,349.0186375,11.17759085,44.71036342,58.8196857,21.4237158,2.794397714,10.24612495,19.56078399
40,650.045,94.68333333,76.0761979,31.56111111,92.66633333,134.4182567,92.66633333,349.3991875,11.92483986,47.69935945,59.39526765,22.85594307,2.981209966,10.93110321,20.86846976
41,648.305,94.546,75.96585327,31.51533333,92.66633333,137.2040443,92.66633333,348.4639375,16.03622561,64.14490242,62.08444657,30.73609908,4.009056401,14.69987347,28.06339481
42,652.309,96.82333333,77.79564585,32.27444444,41.493,137.6102431,41.493,350.6160875,20.31531963,81.26127852,75.99183959,38.93769595,5.078829908,18.62237633,35.55180935
43,504.729,93.94,75.47894417,31.31333333,33.608,120.3043324,33.608,271.2918375,23.41854708,93.67418832,93.11657604,44.88554858,5.85463677,21.46700149,40.98245739
44,501.713,89.15333333,71.63295156,29.71777778,34.35966667,122.3056336,34.35966667,269.6707375,23.09518869,92.38075476,98.82732542,44.26577832,5.773797173,21.17058963,40.41658021
45,419.618,77.76266667,62.48077471,25.92088889,35.24066667,112.9437603,35.24066667,225.544675,23.14249377,92.56997508,108.2953197,44.35644639,5.785623443,21.21395262,40.4993641
46,398.158,53.307,42.83112707,17.769,35.69533333,115.3263183,35.69533333,214.009925,20.39439332,81.57757326,101.5254245,39.08925385,5.098598329,18.69486054,35.6901883
47,340.564,33.44066667,26.86891859,11.14688889,36.59266667,36.42962057,36.59266667,183.05315,16.98277313,67.9310925,74.0392741,32.55031516,4.245693281,15.56754203,29.71985297
48,338.842,43.99266667,35.34724326,14.66422222,37.15433333,33.21447377,37.15433333,182.127575,14.26551373,57.06205492,50.75919113,27.34223465,3.566378432,13.07672092,24.96464902
49,336.09,34.577,27.7819401,11.52566667,38.04533333,33.21447377,38.04533333,180.648375,12.67269535,50.6907814,45.3460918,24.28933275,3.168173837,11.6166374,22.17721686
50,332.584,32.15933333,25.83939243,10.71977778,38.09233333,33.21447377,38.09233333,178.7639,12.7468994,50.98759758,44.147041,24.43155717,3.186724849,11.68465778,22.30707394
51,326.996,32.001,25.71217471,10.667,39.23366667,33.21447377,39.23366667,175.76035,12.94439632,51.77758526,42.9296805,24.81009294,3.236099079,11.86569662,22.65269356
52,325.819,31.875,25.61093619,10.625,38.716,39.13167413,38.716,175.1277125,13.13251071,52.53004283,44.25220442,25.17064552,3.283127677,12.03813482,22.98189374
53,391.356,38.86133333,31.22431774,12.95377778,39.94666667,41.93052653,39.94666667,210.35385,14.53072184,58.12288737,47.1836348,27.8505502,3.632680461,13.31982836,25.42876322
54,400.47,38.64966667,31.05424774,12.88322222,39.02166667,45.17685089,39.02166667,215.252625,17.31494325,69.259773,57.54692662,33.18697457,4.328735813,15.87203131,30.30115069
55,531.234,55.60566667,44.67806057,18.53522222,43.28366667,175.0268556,43.28366667,285.538275,20.58158016,82.32632064,85.7236814,39.44802863,5.14539504,18.86644848,36.01776528
56,604.614,50.76033333,40.78493044,16.92011111,53.05533333,138.5482417,53.05533333,324.980025,18.59863757,74.39455026,86.34761974,35.64738868,4.649659391,17.0487511,32.54761574
57,615.554,76.18666667,61.21448968,25.39555556,76.57566667,157.8180406,76.57566667,330.860275,16.72386165,66.8954466,75.73785115,32.05406817,4.180965413,15.33020651,29.26675789
58,631.658,89.791,72.1453042,29.93033333,92.66633333,142.4739395,92.66633333,339.516175,14.42767454,57.71069816,75.00781043,27.65304287,3.606918635,13.22536833,25.24843045
59,632.741,87.413,70.23462792,29.13766667,92.66633333,139.1456627,92.66633333,340.0982875,12.68814263,50.75257054,59.47601813,24.31894005,3.172035659,11.63079741,22.20424961
60,626.963,98.09766667,78.81954765,32.69922222,92.66633333,141.8281191,92.66633333,336.9926125,13.43521327,53.74085308,62.18209832,25.75082543,3.358803317,12.31561216,23.51162322
61,606.273,93.20766667,74.89052873,31.06922222,83.52466667,146.287992,83.52466667,325.8717375,14.03829951,56.15319806,65.04028988,26.90674074,3.509574879,12.86844122,24.56702415
62,623.787,92.54733333,74.35996387,30.84911111,92.66633333,143.0286028,92.66633333,335.2855125,14.48602104,57.94408416,66.20037388,27.76487366,3.62150526,13.27885262,25.35053682
63,625.201,91.14266667,73.23134181,30.38088889,92.66633333,137.6090554,92.66633333,336.0455375,14.89423248,59.57692991,67.06046043,28.54727892,3.72355812,13.65304644,26.06490684
64,626.147,90.298,72.55266874,30.09933333,92.66633333,138.4861835,92.66633333,336.5540125,16.09250295,64.3700118,67.39050456,30.84396399,4.023125738,14.75146104,28.16188016
65,629.477,90.637,72.82504858,30.21233333,92.66633333,139.3552947,92.66633333,338.3438875,19.22935412,76.91741646,68.4440167,36.85626207,4.807338529,17.62690794,33.6513697
66,634.049,92.434,74.26890277,30.81133333,41.493,131.1701508,41.493,340.8013375,20.89789274,83.59157094,78.24064669,40.05429441,5.224473184,19.15640167,36.57131229
67,480.113,89.93733333,72.26288015,29.97911111,33.763,111.3542996,33.763,258.0607375,23.3684772,93.4739088,92.94709392,44.78958129,5.8421193,21.4211041,40.8948351
68,476.019,83.266,66.90259491,27.75533333,34.79366667,114.646351,34.79366667,255.8602125,23.07674471,92.30697882,98.09024251,44.23042735,5.769186176,21.15368265,40.38430323
69,394.675,73.30866667,58.90207323,24.43622222,35.46166667,104.8061252,35.46166667,212.1378125,23.04927494,92.19709974,107.5342933,44.17777696,5.762318734,21.12850202,40.33623114
70,377.347,49.469,39.74736948,16.48966667,35.97466667,107.8823092,35.97466667,202.8240125,20.32241895,81.2896758,100.6831781,38.951303,5.080604738,18.62888404,35.56423316
71,321.931,30.511,24.51498899,10.17033333,36.64233333,36.42962057,36.64233333,173.0379125,16.82771165,67.31084658,74.09748956,32.25311398,4.206927911,15.42540234,29.44849538
72,321.392,41.43933333,33.29569009,13.81311111,36.497,33.21447377,36.497,172.7482,13.71843727,54.87374907,50.86717143,26.29367143,3.429609317,12.57523416,24.00726522
73,314.913,32.34333333,25.98723282,10.78111111,36.78866667,33.21447377,36.78866667,169.2657375,11.83042592,47.32170367,44.58835179,22.67498301,2.95760648,10.84455709,20.70324536
74,314.805,29.96333333,24.07494958,9.987777778,36.722,33.21447377,36.722,169.2076875,11.64964274,46.59857098,42.51090473,22.32848193,2.912410686,10.67883918,20.3868748
75,314.936,30.36533333,24.39794868,10.12177778,36.72133333,33.21447377,36.72133333,169.2781,11.4167562,45.66702481,40.18134715,21.88211605,2.854189051,10.46535985,19.97932335
76,315.307,30.788,24.73755305,10.26266667,36.56966667,33.21447377,36.56966667,169.4775125,11.395262,45.581048,40.34237864,21.84091883,2.8488155,10.44565684,19.9417085
77,381.041,33.37833333,26.81883498,11.12611111,37.111,33.21447377,37.111,204.8095375,12.71284759,50.85139034,42.03062714,24.36629121,3.178211897,11.65344362,22.24748328
78,381.892,33.71133333,27.08639394,11.23711111,36.78166667,36.42962057,36.78166667,205.26695,15.1224456,60.4897824,50.21506432,28.98468739,3.7806114,13.8622418,26.4642798
79,519.598,51.40366667,41.30183614,17.13455556,43.28366667,130.0257866,43.28366667,279.283925,17.83893798,71.35575192,78.52092598,34.19129779,4.459734495,16.35235982,31.21814147
80,593.03,49.51266667,39.7824548,16.50422222,53.109,119.3170436,53.109,318.753625,16.25801723,65.0320689,83.98613755,31.16119967,4.064504306,14.90318246,28.45153014
81,605.854,78.39166667,62.98616385,26.13055556,76.57566667,158.8964866,76.57566667,325.646525,15.51060767,62.04243066,73.96791321,29.7286647,3.877651916,14.21805703,27.14356341
82,622.575,93.885,75.43475276,31.295,92.66633333,145.1952935,92.66633333,334.6340625,13.60625716,54.42502864,72.25712969,26.07865956,3.401564291,12.47240239,23.81095003
83,631.312,92.2,74.08088836,30.73333333,92.66633333,139.5512678,92.66633333,339.3302,11.6746331,46.69853239,55.39201543,22.3763801,2.918658275,10.701747,20.43060792
84,641.384,103.5876667,83.2306548,34.52922222,92.66633333,138.9084165,92.66633333,344.7439,11.55845739,46.23382955,56.69106538,22.15370999,2.889614348,10.59525261,20.22730043
85,631.1,100.912,81.08080918,33.63733333,83.52466667,139.0162017,83.52466667,339.21625,11.23647248,44.94588991,59.35911772,21.53657225,2.80911812,10.30009977,19.66382684
86,651.422,101.9576667,81.92098183,33.98588889,92.66633333,138.8154778,92.66633333,350.139325,11.23014016,44.92056064,62.54688394,21.52443531,2.807535041,10.29429514,19.65274528
87,661.942,101.6886667,81.70484561,33.89622222,92.66633333,136.0834344,92.66633333,355.793825,11.17962433,44.71849732,63.36941213,21.4276133,2.794906083,10.24798897,19.56434258
88,669.209,101.19,81.30417672,33.73,92.66633333,136.5603023,92.66633333,359.6998375,11.97061092,47.88244367,63.20039948,22.94367092,2.992652729,10.97306001,20.9485691
89,671.771,101.478,81.53557906,33.826,92.66633333,139.4485303,92.66633333,361.0769125,16.09107596,64.36430382,66.15201748,30.84122891,4.022768989,14.75015296,28.15938292
90,679.776,104.2336667,83.74970311,34.74455556,41.493,137.5763932,41.493,365.3796,20.13970934,80.55883734,81.17630238,38.60110955,5.034927334,18.46140022,35.24449134
91,526.665,101.5633333,81.60414269,33.85444444,32.89233333,114.2930056,32.89233333,283.0824375,23.04417341,92.17669362,99.51088766,44.16799903,5.761043351,21.12382562,40.32730346
92,521.332,98.58733333,79.21298519,32.86244444,32.89233333,113.85652,32.89233333,280.21595,22.50956537,90.03826146,106.9080076,43.14333362,5.627391341,20.63376825,39.39173939
93,438.004,89.37433333,71.81052072,29.79144444,32.89233333,100.756608,32.89233333,235.42715,22.26681468,89.06725872,118.2562676,42.67806147,5.56670367,20.41124679,38.96692569
94,419.402,63.04566667,50.65595439,21.01522222,32.89233333,105.274976,32.89233333,225.428575,19.25341692,77.01366768,111.4042134,36.90238244,4.81335423,17.64896551,33.69347961
95,366.12,42.46033333,34.11604353,14.15344444,32.89233333,36.42962057,32.89233333,196.7895,15.42823404,61.71293616,82.54154894,29.57078192,3.85705851,14.14254787,26.99940957
96,366.428,52.34166667,42.05550071,17.44722222,32.89233333,33.21447377,32.89233333,196.95505,12.17686606,48.70746422,57.63143294,23.33899327,3.044216514,11.16212722,21.3095156
97,360.267,45.92733333,36.90170991,15.30911111,32.89233333,33.21447377,32.89233333,193.6435125,10.13347215,40.53388859,52.31129056,19.42248829,2.533368038,9.289016138,17.73357626
98,358.932,42.78333333,34.37556768,14.26111111,32.89233333,33.21447377,32.89233333,192.92595,9.808758099,39.2350324,49.94229669,18.80011969,2.452189525,8.991361589,17.16532667
99,358.187,42.814,34.40020775,14.27133333,32.89233333,33.21447377,32.89233333,192.5255125,9.646418912,38.58567565,46.880351,18.48896958,2.411604728,8.842550668,16.88123309
100,353.467,42.829,34.41225995,14.27633333,32.89233333,33.21447377,32.89233333,189.9885125,9.5652404,38.2609616,46.44936876,18.33337743,2.3913101,8.768137036,16.7391707
101,412.492,45.46733333,36.53210894,15.15577778,32.89233333,33.21447377,32.89233333,221.71445,10.71053347,42.84213386,47.50804517,20.52852248,2.677633367,9.817989012,18.74343357
102,420.427,45.48533333,36.54657159,15.16177778,32.89233333,36.42962057,32.89233333,225.9795125,13.21379624,52.85518498,56.84364623,25.3264428,3.303449061,12.11264656,23.12414342
103,560.373,63.627,51.12304429,21.209,43.28366667,90.22839778,43.28366667,301.2004875,16.14708573,64.58834292,92.21423633,30.948581,4.036771433,14.80149525,28.25740003
104,634.683,64.71866667,52.00017701,21.57288889,53.109,97.75970393,53.109,341.1421125,14.81328585,59.25314342,102.4873881,28.39213122,3.703321464,13.57884537,25.92325024
105,646.691,93.987,75.51670775,31.329,76.57566667,154.1735345,76.57566667,347.5964125,15.61879218,62.47516872,95.43627455,29.93601833,3.904698045,14.31722617,27.33288632
106,664.956,111.4116667,89.51708507,37.13722222,92.66633333,151.1208079,92.66633333,357.41385,19.08346112,76.33384446,101.9014776,36.57663381,4.770865279,17.49317269,33.39605695
107,671.91,111.5333333,89.61484179,37.17777778,92.66633333,155.346107,92.66633333,361.151625,22.40585808,89.62343232,88.25980999,42.94456131,5.60146452,20.53870324,39.21025164
108,668.127,116.563,93.65608016,38.85433333,92.66633333,154.0218038,92.66633333,359.1182625,20.34949631,81.39798522,83.81759439,39.00320124,5.087374076,18.65370495,35.61161853
109,641.299,114.704,92.16241018,38.23466667,83.52466667,154.5239107,83.52466667,344.6982125,21.11752601,84.47010402,84.79411187,40.47525818,5.279381501,19.35773217,36.95567051
110,654.338,116.296,93.4415509,38.76533333,92.66633333,158.4573287,92.66633333,351.706675,22.54598957,90.18395826,86.76263967,43.21314666,5.636497391,20.6671571,39.45548174
111,654.717,114.3633333,91.88869118,38.12111111,92.66633333,156.127921,92.66633333,351.9103875,23.26369965,93.0547986,87.73680976,44.58875767,5.815924913,21.32505801,40.71147439
112,653.299,112.5573333,90.43760567,37.51911111,92.66633333,154.7846143,92.66633333,351.1482125,23.44011264,93.76045056,86.0246178,44.92688256,5.86002816,21.48676992,41.02019712
113,637.535,112.8153333,90.6449036,37.60511111,92.66633333,158.5217622,92.66633333,342.6750625,28.40220495,113.6088198,89.57670016,54.4375595,7.100551238,26.03535454,49.70385866
114,635.593,114.2673333,91.81155707,38.08911111,41.493,148.2230781,41.493,341.6312375,29.36459219,117.4583687,101.6493671,56.28213502,7.341148046,26.91754284,51.38803632
115,479.772,109.565,88.03332466,36.52166667,32.89233333,117.1378819,32.89233333,257.87745,28.98483158,115.9393263,115.9060529,55.55426052,7.246207894,26.56942894,50.72345526
116,475.82,106.2843333,85.39737343,35.42811111,32.89233333,116.9929806,32.89233333,255.75325,27.46131192,109.8452477,122.1182064,52.63418119,6.86532798,25.17286926,48.05729586
117,395.146,96.856,77.82189288,32.28533333,32.89233333,101.951747,32.89233333,212.390975,26.86530717,107.4612287,132.2481669,51.49183874,6.716326793,24.62653157,47.01428755
118,376.548,67.405,54.15859306,22.46833333,32.89233333,101.6203743,32.89233333,202.39455,23.38998923,93.5599569,125.8970474,44.83081269,5.847497306,21.44082346,40.93248114
119,321.85,44.677,35.89709164,14.89233333,32.89233333,36.42962057,32.89233333,172.994375,18.70632263,74.8252905,97.75925942,35.85378503,4.676580656,17.14746241,32.73606459
120,321.939,53.77133333,43.20420978,17.92377778,32.89233333,33.21447377,32.89233333,173.0422125,14.61553921,58.46215683,70.99141279,28.01311681,3.653884802,13.39757761,25.57719361
121,316.031,47.671,38.30271181,15.89033333,32.89233333,33.21447377,32.89233333,169.8666625,11.39128424,45.56513694,62.1135543,21.83329478,2.847821059,10.44201055,19.93474741
122,315.905,44.59366667,35.83013495,14.86455556,32.89233333,33.21447377,32.89233333,169.7989375,10.95656626,43.82626502,58.98212563,21.00008532,2.739141564,10.04351907,19.17399095
123,315.723,44.24566667,35.55052379,14.74855556,32.89233333,33.21447377,32.89233333,169.7011125,10.69132247,42.76528987,55.1929561,20.4917014,2.672830617,9.800378926,18.70981431
124,317.083,44.08033333,35.4176817,14.69344444,32.89233333,33.21447377,32.89233333,170.4321125,10.2156674,40.8626696,53.72207664,19.58002918,2.55391685,9.364361786,17.87741795
125,384.612,53.07033333,42.64097005,17.69011111,32.89233333,33.21447377,32.89233333,206.72895,11.40780177,45.63120708,54.75211479,21.86495339,2.851950443,10.45715162,19.9636531
126,387.093,53.09533333,42.66105706,17.69844444,32.89233333,36.42962057,32.89233333,208.0624875,14.1619313,56.64772521,64.15579039,27.14370166,3.540482826,12.98177036,24.78337978
127,524.82,72.31766667,58.1058242,24.10588889,43.28366667,84.63900695,43.28366667,282.09075,17.57810006,70.31240022,99.12920078,33.69135844,4.394525014,16.11325838,30.7616751
128,598.257,70.795,56.88239145,23.59833333,53.109,92.04114909,53.109,321.5631375,17.35860948,69.43443792,109.3220715,33.27066818,4.33965237,15.91205869,30.37756659
129,611.037,96.60833333,77.62289758,32.20277778,76.57566667,159.2260778,76.57566667,328.4323875,23.32415099,93.29660394,105.7371256,44.70462271,5.831037746,21.38047174,40.81726422
130,625.433,114.4816667,91.98376975,38.16055556,92.66633333,155.705688,92.66633333,336.1702375,24.53993789,98.15975154,106.4577767,47.03488096,6.134984471,22.49494306,42.9448913
131,627.355,114.4116667,91.92752612,38.13722222,92.66633333,160.4850565,92.66633333,337.2033125,27.91816626,111.672665,91.96118684,53.50981866,6.979541565,25.59165241,48.85679096
132,628.759,120.991,97.21389115,40.33033333,92.91733333,166.0982016,92.91733333,337.9579625,30.3155099,121.2620396,93.71797936,58.1047273,7.578877478,27.7892174,53.05214232
133,609.094,121.585,97.69115848,40.52833333,84.83566667,167.1843678,84.83566667,327.388025,31.64006994,126.5602798,95.40341098,60.6434674,7.910017485,29.00339745,55.3701224
134,626.225,122.5433333,98.46116045,40.84777778,95.202,172.6101508,95.202,336.5959375,32.35786923,129.4314769,96.77006598,62.01924935,8.089467308,29.66138013,56.62627115
135,627.28,119.408,95.94198175,39.80266667,95.131,168.5772615,95.131,337.163,31.62979554,126.5191822,96.04237266,60.62377479,7.907448885,28.99397925,55.3521422
136,627.965,117.0553333,94.05166029,39.01844444,94.51133333,166.2359767,94.51133333,337.5311875,30.81526344,123.2610538,93.00249251,59.06258826,7.70381586,28.24732482,53.92671102
137,631.814,115.377,92.70315246,38.459,92.98533333,164.0182142,92.98533333,339.600025,31.05997625,124.239905,90.85931832,59.53162115,7.764994065,28.47164489,54.35495843
138,636.95,116.186,93.35316806,38.72866667,37.53466667,149.3956506,37.53466667,342.360625,31.10986778,124.4394711,102.960154,59.62724656,7.777466948,28.51737879,54.44226861
139,481.661,111.2656667,89.39977694,37.08855556,32.89233333,117.6987807,32.89233333,258.8927875,33.19466255,132.7786502,119.945455,63.6231032,8.29866564,30.42844067,58.09065945
140,477.867,104.9673333,84.33918981,34.98911111,32.89233333,115.9938146,32.89233333,256.8535125,31.82122772,127.2849109,126.4270898,60.99068644,7.955306933,29.16945874,55.6871485
141,396.832,96.06633333,77.18741122,32.02211111,32.89233333,100.9133865,32.89233333,213.2972,31.67840276,126.713611,137.2514106,60.71693862,7.919600693,29.03853586,55.43720482
142,378.016,63.71933333,51.19723231,21.23977778,32.89233333,95.01608031,32.89233333,203.1836,23.70280566,94.81122264,123.9881435,45.43037752,5.925701415,21.72757186,41.47990991
143,324.045,42.03,33.77027915,14.01,32.89233333,36.42962057,32.89233333,174.1741875,15.91161276,63.64645104,89.00346561,30.49725778,3.97790319,14.58564503,27.84532233
144,324.514,51.281,41.20327588,17.09366667,32.89233333,33.21447377,32.89233333,174.426275,12.23069966,48.92279866,60.76192265,23.44217436,3.057674916,11.21147469,21.40372441
145,319.726,43.42366667,34.89006294,14.47455556,32.89233333,29.11833872,32.89233333,171.852725,10.15416366,40.61665465,55.47511332,19.46214702,2.538540916,9.307983355,17.76978641
146,323.055,40.39333333,32.45524964,13.46444444,32.89233333,29.11833872,32.89233333,173.6420625,9.809828349,39.2393134,54.51737501,18.802171,2.452457087,8.992342652,17.16719961
147,324.177,40.33133333,32.40543386,13.44377778,32.89233333,29.11833872,32.89233333,174.2451375,9.667092587,38.66837035,46.79678364,18.52859412,2.416773147,8.861501536,16.91741202
148,323.772,40.29433333,32.37570509,13.43144444,32.89233333,29.11833872,32.89233333,174.02745,9.613580054,38.45432021,45.96909117,18.42602844,2.403395014,8.812448384,16.8237651
149,338.183,42.70566667,34.31316405,14.23522222,32.89233333,29.11833872,32.89233333,181.7733625,10.78216891,43.12867564,46.65593977,20.66582375,2.695542228,9.883654832,18.86879559
150,337.091,42.53066667,34.17255498,14.17688889,32.89233333,29.11833872,32.89233333,181.1864125,13.30259137,53.21036549,49.90098249,25.49663347,3.325647844,12.19404209,23.27953491
151,382.193,54.84233333,44.06473723,18.28077778,32.89233333,88.21373473,32.89233333,205.4287375,16.24214184,64.96856736,73.58716528,31.13077185,4.06053546,14.88863002,28.42374822
152,448.097,54.90633333,44.11615998,18.30211111,23.49133333,76.39447738,23.49133333,240.8521375,14.79284407,59.17137626,78.13876962,28.35295113,3.698211017,13.56010706,25.88747712
153,444.568,77.718,62.44488592,25.906,21.72566667,97.00194127,21.72566667,238.9553,12.99427,51.97707999,109.309865,24.90568416,3.2485675,11.91141416,22.7399725
154,501.295,90.17266667,72.45196587,30.05755556,35.83933333,94.97807346,35.83933333,269.4460625,11.5734409,46.29376359,97.48743075,22.18242839,2.893360225,10.60898749,20.25352157
155,504.546,102.3833333,82.26299658,34.12777778,35.83933333,89.42075097,35.83933333,271.193475,11.89198317,47.56793267,76.36225896,22.79296774,2.972995793,10.90098457,20.81097055
156,504.838,110.8436667,89.06070823,36.94788889,35.83933333,90.661914,35.83933333,271.350425,13.63122968,54.52491871,75.22283207,26.12652355,3.40780742,12.49529387,23.85465193
