hour,t(sec),Tap(pu),Type,Name,t(sec)
142,0.0,1.06875,Transformer,monregcontrol-reg2,
143,0.0,1.06875,Transformer,monregcontrol-reg2,
144,0.0,1.06875,Transformer,monregcontrol-reg2,
145,0.0,1.06875,Transformer,monregcontrol-reg2,
146,0.0,1.06875,Transformer,monregcontrol-reg2,
147,0.0,1.06875,Transformer,monregcontrol-reg2,
148,0.0,1.06875,Transformer,monregcontrol-reg2,
149,0.0,1.06875,Transformer,monregcontrol-reg2,
150,0.0,1.06875,Transformer,monregcontrol-reg2,
151,0.0,1.06875,Transformer,monregcontrol-reg2,
152,0.0,1.06875,Transformer,monregcontrol-reg2,
153,0.0,1.06875,Transformer,monregcontrol-reg2,
154,0.0,1.06875,Transformer,monregcontrol-reg2,
155,0.0,1.06875,Transformer,monregcontrol-reg2,
156,0.0,1.06875,Transformer,monregcontrol-reg2,
157,0.0,1.06875,Transformer,monregcontrol-reg2,
158,0.0,1.06875,Transformer,monregcontrol-reg2,
159,0.0,1.06875,Transformer,monregcontrol-reg2,
160,0.0,1.06875,Transformer,monregcontrol-reg2,
161,0.0,1.06875,Transformer,monregcontrol-reg2,
162,0.0,1.06875,Transformer,monregcontrol-reg2,
163,0.0,1.06875,Transformer,monregcontrol-reg2,
164,0.0,1.06875,Transformer,monregcontrol-reg2,
165,0.0,1.06875,Transformer,monregcontrol-reg2,
166,0.0,1.06875,Transformer,monregcontrol-reg2,
167,0.0,1.06875,Transformer,monregcontrol-reg2,
168,0.0,1.06875,Transformer,monregcontrol-reg2,
169,0.0,1.06875,Transformer,monregcontrol-reg2,
170,0.0,1.06875,Transformer,monregcontrol-reg2,
171,0.0,1.06875,Transformer,monregcontrol-reg2,
172,0.0,1.06875,Transformer,monregcontrol-reg2,
173,0.0,1.06875,Transformer,monregcontrol-reg2,
174,0.0,1.06875,Transformer,monregcontrol-reg2,
175,0.0,1.06875,Transformer,monregcontrol-reg2,
176,0.0,1.06875,Transformer,monregcontrol-reg2,
177,0.0,1.06875,Transformer,monregcontrol-reg2,
178,0.0,1.06875,Transformer,monregcontrol-reg2,
179,0.0,1.06875,Transformer,monregcontrol-reg2,
180,0.0,1.06875,Transformer,monregcontrol-reg2,
1,0.0,1.06875,Transformer,monregcontrol-reg3,
2,0.0,1.06875,Transformer,monregcontrol-reg3,
3,0.0,1.06875,Transformer,monregcontrol-reg3,
4,0.0,1.06875,Transformer,monregcontrol-reg3,
5,0.0,1.06875,Transformer,monregcontrol-reg3,
6,0.0,1.06875,Transformer,monregcontrol-reg3,
7,0.0,1.06875,Transformer,monregcontrol-reg3,
8,0.0,1.06875,Transformer,monregcontrol-reg3,
9,0.0,1.06875,Transformer,monregcontrol-reg3,
10,0.0,1.06875,Transformer,monregcontrol-reg3,
11,0.0,1.06875,Transformer,monregcontrol-reg3,
12,0.0,1.06875,Transformer,monregcontrol-reg3,
13,0.0,1.06875,Transformer,monregcontrol-reg3,
14,0.0,1.06875,Transformer,monregcontrol-reg3,
15,0.0,1.06875,Transformer,monregcontrol-reg3,
16,0.0,1.06875,Transformer,monregcontrol-reg3,
17,0.0,1.06875,Transformer,monregcontrol-reg3,
18,0.0,1.06875,Transformer,monregcontrol-reg3,
19,0.0,1.06875,Transformer,monregcontrol-reg3,
20,0.0,1.06875,Transformer,monregcontrol-reg3,
21,0.0,1.06875,Transformer,monregcontrol-reg3,
22,0.0,1.06875,Transformer,monregcontrol-reg3,
23,0.0,1.06875,Transformer,monregcontrol-reg3,
24,0.0,1.06875,Transformer,monregcontrol-reg3,
25,0.0,1.06875,Transformer,monregcontrol-reg3,
26,0.0,1.06875,Transformer,monregcontrol-reg3,
27,0.0,1.06875,Transformer,monregcontrol-reg3,
28,0.0,1.06875,Transformer,monregcontrol-reg3,
29,0.0,1.06875,Transformer,monregcontrol-reg3,
30,0.0,1.06875,Transformer,monregcontrol-reg3,
31,0.0,1.06875,Transformer,monregcontrol-reg3,
32,0.0,1.06875,Transformer,monregcontrol-reg3,
33,0.0,1.06875,Transformer,monregcontrol-reg3,
34,0.0,1.06875,Transformer,monregcontrol-reg3,
35,0.0,1.06875,Transformer,monregcontrol-reg3,
36,0.0,1.06875,Transformer,monregcontrol-reg3,
37,0.0,1.06875,Transformer,monregcontrol-reg3,
38,0.0,1.06875,Transformer,monregcontrol-reg3,
39,0.0,1.06875,Transformer,monregcontrol-reg3,
40,0.0,1.06875,Transformer,monregcontrol-reg3,
41,0.0,1.06875,Transformer,monregcontrol-reg3,
42,0.0,1.06875,Transformer,monregcontrol-reg3,
43,0.0,1.06875,Transformer,monregcontrol-reg3,
44,0.0,1.06875,Transformer,monregcontrol-reg3,
45,0.0,1.06875,Transformer,monregcontrol-reg3,
46,0.0,1.06875,Transformer,monregcontrol-reg3,
47,0.0,1.06875,Transformer,monregcontrol-reg3,
48,0.0,1.06875,Transformer,monregcontrol-reg3,
49,0.0,1.06875,Transformer,monregcontrol-reg3,
50,0.0,1.06875,Transformer,monregcontrol-reg3,
51,0.0,1.06875,Transformer,monregcontrol-reg3,
52,0.0,1.06875,Transformer,monregcontrol-reg3,
53,0.0,1.06875,Transformer,monregcontrol-reg3,
54,0.0,1.06875,Transformer,monregcontrol-reg3,
55,0.0,1.06875,Transformer,monregcontrol-reg3,
56,0.0,1.06875,Transformer,monregcontrol-reg3,
57,0.0,1.06875,Transformer,monregcontrol-reg3,
58,0.0,1.06875,Transformer,monregcontrol-reg3,
59,0.0,1.06875,Transformer,monregcontrol-reg3,
60,0.0,1.06875,Transformer,monregcontrol-reg3,
61,0.0,1.06875,Transformer,monregcontrol-reg3,
62,0.0,1.06875,Transformer,monregcontrol-reg3,
63,0.0,1.06875,Transformer,monregcontrol-reg3,
64,0.0,1.06875,Transformer,monregcontrol-reg3,
65,0.0,1.06875,Transformer,monregcontrol-reg3,
66,0.0,1.06875,Transformer,monregcontrol-reg3,
67,0.0,1.06875,Transformer,monregcontrol-reg3,
