hour,671_hospital,634a_supermarket,634b_supermarket,634c_supermarket,645_warehouse1,646_med_office,692_warehouse2,675a_residential1,675b_residential1,675c_residential1,611_hotel,652_med_apartment,670a_residential2,670b_residential2,670c_residential2
45,419.618,77.76266667,77.76266667,25.92088889,35.24066667,126.791,35.24066667,154.2832918,23.14249377,92.56997508,230.671,64.8703,7.71416459,30.85665836,61.71331672
46,398.158,53.307,53.307,17.769,35.69533333,129.4656667,35.69533333,135.9626221,20.39439332,81.57757326,216.251,57.16715,6.798131105,27.19252442,54.38504884
47,340.564,33.44066667,33.44066667,11.14688889,36.59266667,40.896,36.59266667,113.2184875,16.98277313,67.9310925,157.705,47.6041,5.660924375,22.6436975,45.287395
48,338.842,43.99266667,43.99266667,14.66422222,37.15433333,37.28666667,37.15433333,95.10342486,14.26551373,57.06205492,108.118,39.9874,4.755171243,19.02068497,38.04136994
49,336.09,34.577,34.577,11.52566667,38.04533333,37.28666667,38.04533333,84.48463566,12.67269535,50.6907814,96.588,35.5226,4.224231783,16.89692713,33.79385426
50,332.584,32.15933333,32.15933333,10.71977778,38.09233333,37.28666667,38.09233333,84.9793293,12.7468994,50.98759758,94.034,35.7306,4.248966465,16.99586586,33.99173172
51,326.996,32.001,32.001,10.667,39.23366667,37.28666667,39.23366667,86.29597544,12.94439632,51.77758526,91.441,36.2842,4.314798772,17.25919509,34.51839018
52,325.819,31.875,31.875,10.625,38.716,43.92933333,38.716,87.55007138,13.13251071,52.53004283,94.258,36.8115,4.377503569,17.51001428,35.02002855
53,391.356,38.86133333,38.86133333,12.95377778,39.94666667,47.07133333,39.94666667,96.87147895,14.53072184,58.12288737,100.502,40.7308,4.843573948,19.37429579,38.74859158
54,400.47,38.64966667,38.64966667,12.88322222,39.02166667,50.71566667,39.02166667,115.432955,17.31494325,69.259773,122.576,48.5352,5.77164775,23.086591,46.173182
55,531.234,55.60566667,55.60566667,18.53522222,43.28366667,196.4856667,43.28366667,137.2105344,20.58158016,82.32632064,182.593,57.69185,6.86052672,27.44210688,54.88421376
56,604.614,50.76033333,50.76033333,16.92011111,53.05533333,155.5346667,53.05533333,123.9909171,18.59863757,74.39455026,183.922,52.1335,6.199545855,24.79818342,49.59636684
57,615.554,76.18666667,76.18666667,25.39555556,76.57566667,177.167,76.57566667,111.492411,16.72386165,66.8954466,161.323,46.87835,5.57462055,22.2984822,44.5969644
58,631.658,89.791,89.791,29.93033333,92.66633333,159.9416667,92.66633333,96.18449694,14.42767454,57.71069816,159.768,40.44195,4.809224847,19.23689939,38.47379878
59,632.741,87.413,87.413,29.13766667,92.66633333,156.2053333,92.66633333,84.58761756,12.68814263,50.75257054,126.685,35.5659,4.229380878,16.91752351,33.83504702
60,626.963,98.09766667,98.09766667,32.69922222,92.66633333,159.2166667,92.66633333,89.56808846,13.43521327,53.74085308,132.449,37.66,4.478404423,17.91361769,35.82723538
61,606.273,93.20766667,93.20766667,31.06922222,83.52466667,164.2233333,83.52466667,93.58866343,14.03829951,56.15319806,138.537,39.3505,4.679433172,18.71773269,37.43546537
62,623.787,92.54733333,92.54733333,30.84911111,92.66633333,160.5643333,92.66633333,96.5734736,14.48602104,57.94408416,141.008,40.6055,4.82867368,19.31469472,38.62938944
63,625.201,91.14266667,91.14266667,30.38088889,92.66633333,154.4803333,92.66633333,99.29488319,14.89423248,59.57692991,142.84,41.74975,4.96474416,19.85897664,39.71795328
64,626.147,90.298,90.298,30.09933333,92.66633333,155.465,92.66633333,107.283353,16.09250295,64.3700118,143.543,45.1086,5.36416765,21.4566706,42.9133412
65,629.477,90.637,90.637,30.21233333,92.66633333,156.4406667,92.66633333,128.1956941,19.22935412,76.91741646,145.787,53.90145,6.409784705,25.63913882,51.27827764
66,634.049,92.434,92.434,30.81133333,41.493,147.252,41.493,139.3192849,20.89789274,83.59157094,166.654,58.5785,6.965964245,27.86385698,55.72771396
67,480.113,89.93733333,89.93733333,29.97911111,33.763,125.0066667,33.763,155.789848,23.3684772,93.4739088,197.979,65.50375,7.7894924,31.1579696,62.3159392
68,476.019,83.266,83.266,27.75533333,34.79366667,128.7023333,34.79366667,153.8449647,23.07674471,92.30697882,208.934,64.686,7.692248235,30.76899294,61.53798588
69,394.675,73.30866667,73.30866667,24.43622222,35.46166667,117.6556667,35.46166667,153.6618329,23.04927494,92.19709974,229.05,64.609,7.683091645,30.73236658,61.46473316
70,377.347,49.469,49.469,16.48966667,35.97466667,121.109,35.97466667,135.482793,20.32241895,81.2896758,214.457,56.9654,6.77413965,27.0965586,54.1931172
71,321.931,30.511,30.511,10.17033333,36.64233333,40.896,36.64233333,112.1847443,16.82771165,67.31084658,157.829,47.16945,5.609237215,22.43694886,44.87389772
72,321.392,41.43933333,41.43933333,13.81311111,36.497,37.28666667,36.497,91.45624845,13.71843727,54.87374907,108.348,38.4539,4.572812423,18.29124969,36.58249938
73,314.913,32.34333333,32.34333333,10.78111111,36.78866667,37.28666667,36.78866667,78.86950612,11.83042592,47.32170367,94.974,33.16165,3.943475306,15.77390122,31.54780245
74,314.805,29.96333333,29.96333333,9.987777778,36.722,37.28666667,36.722,77.66428496,11.64964274,46.59857098,90.549,32.6549,3.883214248,15.53285699,31.06571398
75,314.936,30.36533333,30.36533333,10.12177778,36.72133333,37.28666667,36.72133333,76.11170801,11.4167562,45.66702481,85.587,32.0021,3.805585401,15.2223416,30.4446832
76,315.307,30.788,30.788,10.26266667,36.56966667,37.28666667,36.56966667,75.96841334,11.395262,45.581048,85.93,31.94185,3.798420667,15.19368267,30.38736534
77,381.041,33.37833333,33.37833333,11.12611111,37.111,37.28666667,37.111,84.75231724,12.71284759,50.85139034,89.526,35.63515,4.237615862,16.95046345,33.9009269
78,381.892,33.71133333,33.71133333,11.23711111,36.78166667,40.896,36.78166667,100.816304,15.1224456,60.4897824,106.959,42.38945,5.0408152,20.1632608,40.3265216
79,519.598,51.40366667,51.40366667,17.13455556,43.28366667,145.9673333,43.28366667,118.9262532,17.83893798,71.35575192,167.251,50.004,5.94631266,23.78525064,47.57050128
80,593.03,49.51266667,49.51266667,16.50422222,53.109,133.9456667,53.109,108.3867815,16.25801723,65.0320689,178.892,45.57255,5.419339075,21.6773563,43.3547126
81,605.854,78.39166667,78.39166667,26.13055556,76.57566667,178.3776667,76.57566667,103.4040511,15.51060767,62.04243066,157.553,43.4775,5.170202555,20.68081022,41.36162044
